------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alabama by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"United States",00000,6.6,10560305,"N/A"
"Alabama",01000,7.4,165391,"44 of 52"
"Shelby County",01117,4.3,4650,"723 of 3141"
"Blount County",01009,4.9,1091,"985 of 3141"
"DeKalb County",01049,5.1,1529,"1096 of 3141"
"Autauga County",01001,5.2,1324,"1146 of 3141"
"Cherokee County",01019,5.3,557,"1199 of 3141"
"Marion County",01093,5.5,691,"1278 of 3141"
"Baldwin County",01003,5.5,5215,"1288 of 3141"
"Lee County",01081,5.7,4371,"1408 of 3141"
"St. Clair County",01115,5.8,2354,"1413 of 3141"
"Cullman County",01043,5.8,1962,"1418 of 3141"
"Randolph County",01111,5.8,530,"1456 of 3141"
"Coffee County",01031,6.0,1391,"1562 of 3141"
"Crenshaw County",01041,6.4,389,"1739 of 3141"
"Chambers County",01017,6.4,994,"1746 of 3141"
"Clay County",01027,6.4,379,"1767 of 3141"
"Morgan County",01103,6.5,3496,"1784 of 3141"
"Madison County",01089,6.5,11822,"1818 of 3141"
"Marshall County",01095,6.5,2684,"1826 of 3141"
"Lauderdale County",01077,6.6,2798,"1851 of 3141"
"Henry County",01067,6.7,496,"1901 of 3141"
"Chilton County",01021,6.7,1271,"1917 of 3141"
"Tuscaloosa County",01125,6.7,6570,"1937 of 3141"
"Colbert County",01033,6.9,1653,"2021 of 3141"
"Limestone County",01083,7.1,2957,"2073 of 3141"
"Lawrence County",01079,7.2,972,"2119 of 3141"
"Elmore County",01051,7.3,2613,"2156 of 3141"
"Mobile County",01097,7.5,13977,"2223 of 3141"
"Etowah County",01055,7.6,3406,"2274 of 3141"
"Houston County",01069,7.6,3642,"2288 of 3141"
"Montgomery County",01101,7.6,8343,"2293 of 3141"
"Butler County",01013,7.6,640,"2300 of 3141"
"Jefferson County",01073,7.7,25044,"2311 of 3141"
"Jackson County",01071,7.7,1699,"2334 of 3141"
"Cleburne County",01029,7.8,489,"2372 of 3141"
"Lamar County",01075,7.9,459,"2377 of 3141"
"Franklin County",01059,8.2,1114,"2468 of 3141"
"Bibb County",01007,8.2,728,"2474 of 3141"
"Fayette County",01057,8.4,576,"2536 of 3141"
"Pike County",01109,8.7,1366,"2606 of 3141"
"Geneva County",01061,8.9,1011,"2656 of 3141"
"Tallapoosa County",01123,9.2,1547,"2708 of 3141"
"Winston County",01133,9.4,925,"2754 of 3141"
"Russell County",01113,9.7,2465,"2806 of 3141"
"Choctaw County",01023,9.8,468,"2817 of 3141"
"Talladega County",01121,10.0,3440,"2849 of 3141"
"Walker County",01127,10.0,2701,"2850 of 3141"
"Calhoun County",01015,10.1,5309,"2867 of 3141"
"Dale County",01045,10.4,2097,"2912 of 3141"
"Covington County",01039,10.7,1759,"2932 of 3141"
"Washington County",01129,11.0,708,"2954 of 3141"
"Lowndes County",01085,11.2,446,"2962 of 3141"
"Coosa County",01037,11.3,498,"2971 of 3141"
"Hale County",01065,11.7,697,"2999 of 3141"
"Perry County",01105,11.8,332,"3004 of 3141"
"Bullock County",01011,12.1,592,"3016 of 3141"
"Pickens County",01107,12.2,958,"3019 of 3141"
"Barbour County",01005,12.4,1261,"3029 of 3141"
"Marengo County",01091,12.8,975,"3043 of 3141"
"Sumter County",01119,13.4,672,"3051 of 3141"
"Escambia County",01053,13.7,1930,"3062 of 3141"
"Dallas County",01047,13.7,2302,"3065 of 3141"
"Conecuh County",01035,14.5,669,"3073 of 3141"
"Macon County",01087,14.5,1251,"3074 of 3141"
"Greene County",01063,14.8,419,"3081 of 3141"
"Clarke County",01025,15.2,1424,"3091 of 3141"
"Wilcox County",01131,17.2,602,"3117 of 3141"
"Monroe County",01099,21.6,1691,"3133 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
