------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alabama by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"Alabama",01000,2.3,109472,"15 of 51"
"United States",00000,2.3,7354769,"N/A"
"Wilcox County",01131,0.2,20,"43 of 3140"
"Conecuh County",01035,0.2,28,"53 of 3140"
"Coosa County",01037,0.2,27,"60 of 3140"
"Marengo County",01091,0.3,67,"100 of 3140"
"Bibb County",01007,0.4,81,"108 of 3140"
"Greene County",01063,0.5,42,"173 of 3140"
"Lawrence County",01079,0.5,164,"175 of 3140"
"Lowndes County",01085,0.5,53,"193 of 3140"
"Washington County",01129,0.6,98,"235 of 3140"
"Sumter County",01119,0.6,78,"250 of 3140"
"Butler County",01013,0.7,130,"287 of 3140"
"Winston County",01133,0.7,155,"289 of 3140"
"Fayette County",01057,0.7,110,"301 of 3140"
"Hale County",01065,0.7,105,"345 of 3140"
"Clay County",01027,0.8,102,"386 of 3140"
"Blount County",01009,0.8,475,"457 of 3140"
"Colbert County",01033,0.9,459,"469 of 3140"
"Bullock County",01011,0.9,89,"473 of 3140"
"Cullman County",01043,0.9,750,"558 of 3140"
"St. Clair County",01115,1.0,874,"666 of 3140"
"Monroe County",01099,1.1,231,"735 of 3140"
"Walker County",01127,1.1,696,"746 of 3140"
"Clarke County",01025,1.1,278,"811 of 3140"
"Perry County",01105,1.2,111,"832 of 3140"
"Talladega County",01121,1.2,947,"870 of 3140"
"Chilton County",01021,1.2,518,"890 of 3140"
"Geneva County",01061,1.2,314,"890 of 3140"
"Henry County",01067,1.2,208,"926 of 3140"
"Morgan County",01103,1.2,1455,"938 of 3140"
"Dallas County",01047,1.3,502,"951 of 3140"
"Franklin County",01059,1.3,401,"995 of 3140"
"Barbour County",01005,1.3,334,"1002 of 3140"
"Jackson County",01071,1.3,691,"1054 of 3140"
"Lamar County",01075,1.4,192,"1110 of 3140"
"Covington County",01039,1.4,521,"1139 of 3140"
"Crenshaw County",01041,1.4,194,"1153 of 3140"
"Marshall County",01095,1.4,1341,"1178 of 3140"
"Tallapoosa County",01123,1.5,589,"1211 of 3140"
"Elmore County",01051,1.5,1210,"1271 of 3140"
"Marion County",01093,1.6,473,"1346 of 3140"
"Escambia County",01053,1.6,591,"1357 of 3140"
"Etowah County",01055,1.7,1732,"1483 of 3140"
"Mobile County",01097,1.8,7173,"1554 of 3140"
"Choctaw County",01023,1.8,231,"1570 of 3140"
"Pike County",01109,1.9,611,"1666 of 3140"
"Randolph County",01111,1.9,426,"1704 of 3140"
"Jefferson County",01073,1.9,12577,"1721 of 3140"
"DeKalb County",01049,1.9,1369,"1741 of 3140"
"Cherokee County",01019,2.0,501,"1747 of 3140"
"Limestone County",01083,2.1,1909,"1881 of 3140"
"Calhoun County",01015,2.1,2431,"1895 of 3140"
"Chambers County",01017,2.3,774,"2025 of 3140"
"Pickens County",01107,2.5,501,"2165 of 3140"
"Houston County",01069,2.6,2688,"2228 of 3140"
"Shelby County",01117,2.7,5538,"2271 of 3140"
"Lauderdale County",01077,2.7,2482,"2283 of 3140"
"Madison County",01089,2.9,10140,"2397 of 3140"
"Montgomery County",01101,3.0,6763,"2458 of 3140"
"Baldwin County",01003,3.1,6214,"2491 of 3140"
"Autauga County",01001,3.2,1722,"2532 of 3140"
"Macon County",01087,3.2,623,"2565 of 3140"
"Coffee County",01031,4.0,2013,"2789 of 3140"
"Cleburne County",01029,4.1,615,"2831 of 3140"
"Tuscaloosa County",01125,4.2,8418,"2835 of 3140"
"Lee County",01081,5.3,8215,"3001 of 3140"
"Dale County",01045,7.3,3552,"3099 of 3140"
"Russell County",01113,7.9,4550,"3111 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
