------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alabama by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Alabama",01000,1.1,21341,"8 of 51"
"United States",00000,4.5,5305440,"N/A"
"Choctaw County",01023,0.0,0,"1 of 3140"
"Cleburne County",01029,0.0,0,"1 of 3140"
"Greene County",01063,0.0,0,"1 of 3140"
"Hale County",01065,0.0,0,"1 of 3140"
"Lowndes County",01085,0.0,0,"1 of 3140"
"Wilcox County",01131,0.0,0,"1 of 3140"
"Dallas County",01047,0.0,5,"309 of 3140"
"Lawrence County",01079,0.1,16,"440 of 3140"
"Fayette County",01057,0.2,11,"512 of 3140"
"Geneva County",01061,0.2,20,"564 of 3140"
"Lamar County",01075,0.2,12,"589 of 3140"
"Macon County",01087,0.2,17,"619 of 3140"
"Coosa County",01037,0.2,10,"664 of 3140"
"Cherokee County",01019,0.3,27,"691 of 3140"
"Randolph County",01111,0.3,23,"706 of 3140"
"Jackson County",01071,0.3,54,"715 of 3140"
"Monroe County",01099,0.3,25,"793 of 3140"
"Covington County",01039,0.3,48,"803 of 3140"
"Henry County",01067,0.3,22,"828 of 3140"
"Washington County",01129,0.3,20,"841 of 3140"
"Marengo County",01091,0.4,28,"882 of 3140"
"Perry County",01105,0.4,11,"905 of 3140"
"Clarke County",01025,0.4,36,"925 of 3140"
"Colbert County",01033,0.4,83,"931 of 3140"
"St. Clair County",01115,0.4,129,"969 of 3140"
"Tallapoosa County",01123,0.5,75,"1073 of 3140"
"Conecuh County",01035,0.5,22,"1077 of 3140"
"Escambia County",01053,0.5,70,"1171 of 3140"
"Cullman County",01043,0.6,174,"1218 of 3140"
"Bibb County",01007,0.6,39,"1223 of 3140"
"Lauderdale County",01077,0.6,219,"1230 of 3140"
"Etowah County",01055,0.6,230,"1261 of 3140"
"Clay County",01027,0.6,32,"1285 of 3140"
"Chambers County",01017,0.6,87,"1327 of 3140"
"Houston County",01069,0.6,254,"1342 of 3140"
"Butler County",01013,0.7,51,"1434 of 3140"
"Autauga County",01001,0.8,158,"1476 of 3140"
"Marion County",01093,0.8,94,"1478 of 3140"
"Elmore County",01051,0.8,223,"1493 of 3140"
"Pickens County",01107,0.8,61,"1533 of 3140"
"Barbour County",01005,0.8,75,"1548 of 3140"
"Calhoun County",01015,0.8,373,"1561 of 3140"
"Talladega County",01121,0.8,263,"1568 of 3140"
"Baldwin County",01003,0.9,686,"1633 of 3140"
"Limestone County",01083,1.0,311,"1686 of 3140"
"Mobile County",01097,1.0,1575,"1742 of 3140"
"Walker County",01127,1.1,271,"1787 of 3140"
"Russell County",01113,1.1,254,"1819 of 3140"
"Dale County",01045,1.2,218,"1849 of 3140"
"Winston County",01133,1.2,111,"1866 of 3140"
"Tuscaloosa County",01125,1.2,842,"1867 of 3140"
"Jefferson County",01073,1.3,3445,"1969 of 3140"
"Sumter County",01119,1.3,67,"1973 of 3140"
"Crenshaw County",01041,1.3,72,"1984 of 3140"
"Shelby County",01117,1.4,1064,"2012 of 3140"
"Madison County",01089,1.5,2082,"2058 of 3140"
"Blount County",01009,1.5,318,"2105 of 3140"
"Montgomery County",01101,1.6,1421,"2147 of 3140"
"Coffee County",01031,1.7,330,"2204 of 3140"
"Lee County",01081,2.0,1172,"2318 of 3140"
"Pike County",01109,2.0,245,"2321 of 3140"
"Morgan County",01103,2.2,1001,"2385 of 3140"
"Bullock County",01011,2.2,81,"2401 of 3140"
"DeKalb County",01049,2.4,622,"2493 of 3140"
"Chilton County",01021,2.8,466,"2586 of 3140"
"Franklin County",01059,3.2,364,"2662 of 3140"
"Marshall County",01095,3.5,1226,"2723 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language: Language isolation, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#non-english."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
A "limited English speaking household" is one in which no member 14 years old and over (1) speaks only English or (2) speaks a non-English language and speaks English "very well."
Data for United States does not include Puerto Rico.
