------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alabama by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"Alabama",01000,3.5,167926,"47 of 51"
"United States",00000,13.4,43028127,"N/A"
"Wilcox County",01131,0.0,0,"3128 of 3140"
"Greene County",01063,0.0,3,"3126 of 3140"
"Lowndes County",01085,0.3,34,"3062 of 3140"
"Choctaw County",01023,0.4,50,"3044 of 3140"
"Clarke County",01025,0.4,106,"3028 of 3140"
"Marengo County",01091,0.5,89,"3019 of 3140"
"Monroe County",01099,0.5,116,"2976 of 3140"
"Coosa County",01037,0.6,64,"2946 of 3140"
"Perry County",01105,0.6,60,"2923 of 3140"
"Lamar County",01075,0.6,88,"2918 of 3140"
"Lawrence County",01079,0.7,219,"2894 of 3140"
"Cherokee County",01019,0.7,173,"2887 of 3140"
"Fayette County",01057,0.7,114,"2871 of 3140"
"Escambia County",01053,0.8,297,"2802 of 3140"
"Covington County",01039,0.8,300,"2790 of 3140"
"Conecuh County",01035,0.8,103,"2780 of 3140"
"Bibb County",01007,1.0,231,"2627 of 3140"
"Butler County",01013,1.0,211,"2606 of 3140"
"Hale County",01065,1.1,166,"2559 of 3140"
"Macon County",01087,1.2,231,"2487 of 3140"
"Henry County",01067,1.3,219,"2404 of 3140"
"Chambers County",01017,1.3,441,"2390 of 3140"
"Tallapoosa County",01123,1.4,552,"2357 of 3140"
"Winston County",01133,1.4,325,"2355 of 3140"
"Walker County",01127,1.4,924,"2304 of 3140"
"Dallas County",01047,1.4,588,"2292 of 3140"
"Geneva County",01061,1.5,389,"2276 of 3140"
"Randolph County",01111,1.5,349,"2212 of 3140"
"Washington County",01129,1.6,262,"2198 of 3140"
"Marion County",01093,1.6,488,"2162 of 3140"
"Cleburne County",01029,1.6,245,"2151 of 3140"
"Talladega County",01121,1.7,1343,"2134 of 3140"
"St. Clair County",01115,1.7,1513,"2074 of 3140"
"Colbert County",01033,1.8,959,"2059 of 3140"
"Elmore County",01051,1.8,1472,"2033 of 3140"
"Bullock County",01011,1.8,192,"2027 of 3140"
"Jackson County",01071,1.9,1006,"1967 of 3140"
"Clay County",01027,1.9,261,"1955 of 3140"
"Lauderdale County",01077,2.0,1863,"1927 of 3140"
"Crenshaw County",01041,2.1,288,"1881 of 3140"
"Autauga County",01001,2.1,1163,"1857 of 3140"
"Sumter County",01119,2.2,289,"1802 of 3140"
"Houston County",01069,2.3,2372,"1759 of 3140"
"Calhoun County",01015,2.6,3021,"1615 of 3140"
"Barbour County",01005,2.7,697,"1589 of 3140"
"Pickens County",01107,2.7,547,"1562 of 3140"
"Cullman County",01043,2.8,2271,"1521 of 3140"
"Dale County",01045,2.9,1413,"1487 of 3140"
"Etowah County",01055,2.9,2982,"1481 of 3140"
"Russell County",01113,3.1,1809,"1390 of 3140"
"Mobile County",01097,3.2,13109,"1360 of 3140"
"Baldwin County",01003,3.2,6606,"1334 of 3140"
"Pike County",01109,3.4,1128,"1293 of 3140"
"Coffee County",01031,3.7,1893,"1202 of 3140"
"Tuscaloosa County",01125,3.8,7711,"1188 of 3140"
"Limestone County",01083,3.9,3542,"1161 of 3140"
"Jefferson County",01073,4.0,26422,"1113 of 3140"
"Morgan County",01103,4.3,5110,"1042 of 3140"
"Blount County",01009,4.5,2621,"1000 of 3140"
"Montgomery County",01101,4.6,10422,"989 of 3140"
"Chilton County",01021,5.1,2218,"906 of 3140"
"Shelby County",01117,5.3,10996,"873 of 3140"
"Lee County",01081,5.5,8593,"834 of 3140"
"Madison County",01089,5.5,19423,"830 of 3140"
"Marshall County",01095,7.3,6877,"578 of 3140"
"DeKalb County",01049,7.5,5308,"559 of 3140"
"Franklin County",01059,9.7,3049,"373 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Foreign born, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
