------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alabama by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Alabama",01000,4.1,198375,"41 of 52"
"United States",00000,17.6,56510571,"N/A"
"Coosa County",01037,0.1,16,"3123 of 3141"
"Clarke County",01025,0.2,58,"3115 of 3141"
"Sumter County",01119,0.3,34,"3110 of 3141"
"Butler County",01013,0.3,64,"3096 of 3141"
"Bullock County",01011,0.3,35,"3094 of 3141"
"Marengo County",01091,0.4,88,"3077 of 3141"
"Wilcox County",01131,0.5,52,"3075 of 3141"
"Washington County",01129,0.5,81,"3073 of 3141"
"Choctaw County",01023,0.5,71,"3056 of 3141"
"Lowndes County",01085,0.7,71,"3027 of 3141"
"Perry County",01105,0.7,67,"3026 of 3141"
"Pike County",01109,0.8,282,"2983 of 3141"
"Dallas County",01047,1.0,409,"2932 of 3141"
"Greene County",01063,1.2,101,"2867 of 3141"
"Hale County",01065,1.3,196,"2797 of 3141"
"Monroe County",01099,1.3,286,"2793 of 3141"
"Lamar County",01075,1.5,212,"2670 of 3141"
"Covington County",01039,1.6,586,"2633 of 3141"
"Cherokee County",01019,1.6,409,"2616 of 3141"
"Macon County",01087,1.6,315,"2591 of 3141"
"Fayette County",01057,1.7,277,"2576 of 3141"
"Crenshaw County",01041,1.8,253,"2476 of 3141"
"Conecuh County",01035,1.8,231,"2474 of 3141"
"Lawrence County",01079,2.1,701,"2322 of 3141"
"Escambia County",01053,2.2,809,"2301 of 3141"
"Chambers County",01017,2.2,730,"2298 of 3141"
"Talladega County",01121,2.2,1791,"2258 of 3141"
"St. Clair County",01115,2.3,2003,"2213 of 3141"
"Bibb County",01007,2.4,531,"2187 of 3141"
"Walker County",01127,2.4,1531,"2180 of 3141"
"Tallapoosa County",01123,2.4,968,"2174 of 3141"
"Cleburne County",01029,2.4,356,"2171 of 3141"
"Colbert County",01033,2.4,1313,"2157 of 3141"
"Marion County",01093,2.5,741,"2138 of 3141"
"Lauderdale County",01077,2.5,2285,"2137 of 3141"
"Henry County",01067,2.5,435,"2091 of 3141"
"Autauga County",01001,2.7,1467,"2043 of 3141"
"Mobile County",01097,2.8,11416,"1991 of 3141"
"Jackson County",01071,2.9,1493,"1938 of 3141"
"Elmore County",01051,2.9,2316,"1935 of 3141"
"Randolph County",01111,3.0,665,"1903 of 3141"
"Winston County",01133,3.0,717,"1887 of 3141"
"Clay County",01027,3.1,417,"1834 of 3141"
"Houston County",01069,3.2,3366,"1782 of 3141"
"Montgomery County",01101,3.4,7628,"1742 of 3141"
"Tuscaloosa County",01125,3.5,7128,"1702 of 3141"
"Calhoun County",01015,3.6,4121,"1681 of 3141"
"Etowah County",01055,3.7,3794,"1644 of 3141"
"Lee County",01081,3.7,5813,"1636 of 3141"
"Jefferson County",01073,3.7,24692,"1629 of 3141"
"Geneva County",01061,3.8,1004,"1622 of 3141"
"Pickens County",01107,4.1,826,"1537 of 3141"
"Barbour County",01005,4.2,1104,"1500 of 3141"
"Cullman County",01043,4.2,3466,"1488 of 3141"
"Baldwin County",01003,4.4,9029,"1441 of 3141"
"Madison County",01089,4.7,16734,"1376 of 3141"
"Russell County",01113,5.2,3050,"1269 of 3141"
"Shelby County",01117,5.8,12045,"1168 of 3141"
"Limestone County",01083,5.8,5323,"1159 of 3141"
"Dale County",01045,6.1,2994,"1116 of 3141"
"Coffee County",01031,6.7,3402,"1038 of 3141"
"Chilton County",01021,7.7,3371,"914 of 3141"
"Morgan County",01103,8.0,9485,"896 of 3141"
"Blount County",01009,9.0,5197,"810 of 3141"
"Marshall County",01095,13.3,12600,"568 of 3141"
"DeKalb County",01049,14.3,10178,"535 of 3141"
"Franklin County",01059,16.3,5146,"470 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
