------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alabama by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"United States",00000,82.4,264493836,"N/A"
"Alabama",01000,95.9,4652396,"41 of 52"
"Franklin County",01059,83.7,26361,"470 of 3141"
"DeKalb County",01049,85.7,61016,"535 of 3141"
"Marshall County",01095,86.7,82138,"568 of 3141"
"Blount County",01009,91.0,52470,"810 of 3141"
"Morgan County",01103,92.0,109672,"896 of 3141"
"Chilton County",01021,92.3,40434,"914 of 3141"
"Coffee County",01031,93.3,47671,"1038 of 3141"
"Dale County",01045,93.9,46399,"1116 of 3141"
"Limestone County",01083,94.2,86372,"1159 of 3141"
"Shelby County",01117,94.2,196676,"1168 of 3141"
"Russell County",01113,94.8,55430,"1269 of 3141"
"Madison County",01089,95.3,336479,"1376 of 3141"
"Baldwin County",01003,95.6,194331,"1441 of 3141"
"Cullman County",01043,95.8,78237,"1488 of 3141"
"Barbour County",01005,95.8,25097,"1500 of 3141"
"Pickens County",01107,95.9,19344,"1537 of 3141"
"Geneva County",01061,96.2,25568,"1622 of 3141"
"Jefferson County",01073,96.3,634768,"1629 of 3141"
"Lee County",01081,96.3,150784,"1636 of 3141"
"Etowah County",01055,96.3,99338,"1644 of 3141"
"Calhoun County",01015,96.4,111406,"1681 of 3141"
"Tuscaloosa County",01125,96.5,197296,"1702 of 3141"
"Montgomery County",01101,96.6,219492,"1742 of 3141"
"Houston County",01069,96.8,100742,"1782 of 3141"
"Clay County",01027,96.9,12990,"1834 of 3141"
"Winston County",01133,97.0,23251,"1887 of 3141"
"Randolph County",01111,97.0,21865,"1903 of 3141"
"Elmore County",01051,97.1,78673,"1935 of 3141"
"Jackson County",01071,97.1,50833,"1938 of 3141"
"Mobile County",01097,97.2,402912,"1991 of 3141"
"Autauga County",01001,97.3,53569,"2043 of 3141"
"Henry County",01067,97.5,16675,"2091 of 3141"
"Lauderdale County",01077,97.5,90305,"2137 of 3141"
"Marion County",01093,97.5,29317,"2138 of 3141"
"Colbert County",01033,97.6,53122,"2157 of 3141"
"Cleburne County",01029,97.6,14583,"2171 of 3141"
"Tallapoosa County",01123,97.6,39788,"2174 of 3141"
"Walker County",01127,97.6,63396,"2180 of 3141"
"Bibb County",01007,97.6,22049,"2187 of 3141"
"St. Clair County",01115,97.7,84934,"2213 of 3141"
"Talladega County",01121,97.8,79097,"2258 of 3141"
"Chambers County",01017,97.8,33165,"2298 of 3141"
"Escambia County",01053,97.8,36812,"2301 of 3141"
"Lawrence County",01079,97.9,32587,"2322 of 3141"
"Conecuh County",01035,98.2,12418,"2474 of 3141"
"Crenshaw County",01041,98.2,13613,"2476 of 3141"
"Fayette County",01057,98.3,16380,"2576 of 3141"
"Macon County",01087,98.4,19043,"2591 of 3141"
"Cherokee County",01019,98.4,25446,"2616 of 3141"
"Covington County",01039,98.4,36933,"2633 of 3141"
"Lamar County",01075,98.5,13809,"2670 of 3141"
"Monroe County",01099,98.7,21459,"2793 of 3141"
"Hale County",01065,98.7,14799,"2797 of 3141"
"Greene County",01063,98.8,8432,"2867 of 3141"
"Dallas County",01047,99.0,40346,"2932 of 3141"
"Pike County",01109,99.2,33005,"2983 of 3141"
"Perry County",01105,99.3,9613,"3026 of 3141"
"Lowndes County",01085,99.3,10291,"3027 of 3141"
"Choctaw County",01023,99.5,13117,"3056 of 3141"
"Washington County",01129,99.5,16665,"3073 of 3141"
"Wilcox County",01131,99.5,10867,"3075 of 3141"
"Marengo County",01091,99.6,19655,"3077 of 3141"
"Bullock County",01011,99.7,10443,"3094 of 3141"
"Butler County",01013,99.7,20062,"3096 of 3141"
"Sumter County",01119,99.7,13050,"3110 of 3141"
"Clarke County",01025,99.8,24567,"3115 of 3141"
"Coosa County",01037,99.9,10939,"3123 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
