------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'topic': 'pop', 'demo': '00029', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alabama by County
Population: Age 50 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 50 And Over),Rank within US
"United States",00000,34.5,110609456,"N/A"
"Alabama",01000,35.8,1735534,"22 of 52"
"Lee County",01081,26.7,41889,"3051 of 3141"
"Tuscaloosa County",01125,29.3,59950,"2928 of 3141"
"Pike County",01109,30.6,10177,"2833 of 3141"
"Russell County",01113,31.8,18594,"2749 of 3141"
"Montgomery County",01101,32.6,74143,"2657 of 3141"
"Autauga County",01001,33.3,18320,"2589 of 3141"
"Shelby County",01117,33.5,69959,"2567 of 3141"
"Elmore County",01051,33.9,27495,"2505 of 3141"
"Jefferson County",01073,34.6,228129,"2426 of 3141"
"Franklin County",01059,34.6,10906,"2420 of 3141"
"Limestone County",01083,34.7,31788,"2412 of 3141"
"Mobile County",01097,34.9,144409,"2379 of 3141"
"Dale County",01045,34.9,17233,"2373 of 3141"
"Bibb County",01007,35.0,7892,"2365 of 3141"
"Madison County",01089,35.1,123828,"2342 of 3141"
"DeKalb County",01049,35.3,25121,"2311 of 3141"
"Chilton County",01021,35.4,15496,"2298 of 3141"
"Coffee County",01031,35.5,18139,"2280 of 3141"
"Marshall County",01095,35.8,33922,"2230 of 3141"
"St. Clair County",01115,35.9,31241,"2202 of 3141"
"Bullock County",01011,36.3,3802,"2148 of 3141"
"Houston County",01069,36.5,38008,"2117 of 3141"
"Escambia County",01053,36.8,13840,"2067 of 3141"
"Sumter County",01119,36.9,4830,"2041 of 3141"
"Morgan County",01103,37.0,44048,"2031 of 3141"
"Calhoun County",01015,37.0,42731,"2020 of 3141"
"Barbour County",01005,37.2,9750,"1971 of 3141"
"Blount County",01009,37.3,21510,"1952 of 3141"
"Talladega County",01121,37.4,30285,"1910 of 3141"
"Dallas County",01047,37.5,15277,"1897 of 3141"
"Macon County",01087,38.0,7359,"1786 of 3141"
"Perry County",01105,38.0,3683,"1778 of 3141"
"Wilcox County",01131,38.1,4157,"1771 of 3141"
"Cullman County",01043,38.2,31245,"1731 of 3141"
"Etowah County",01055,38.5,39665,"1692 of 3141"
"Cleburne County",01029,38.5,5753,"1680 of 3141"
"Lauderdale County",01077,39.2,36300,"1534 of 3141"
"Lowndes County",01085,39.3,4070,"1519 of 3141"
"Lawrence County",01079,39.3,13080,"1514 of 3141"
"Butler County",01013,39.4,7922,"1492 of 3141"
"Marengo County",01091,39.4,7776,"1486 of 3141"
"Walker County",01127,39.5,25640,"1460 of 3141"
"Clarke County",01025,39.6,9742,"1439 of 3141"
"Crenshaw County",01041,39.8,5514,"1399 of 3141"
"Pickens County",01107,39.9,8048,"1368 of 3141"
"Monroe County",01099,40.1,8717,"1318 of 3141"
"Chambers County",01017,40.1,13594,"1313 of 3141"
"Colbert County",01033,40.2,21884,"1295 of 3141"
"Geneva County",01061,40.2,10683,"1294 of 3141"
"Baldwin County",01003,40.2,81811,"1288 of 3141"
"Hale County",01065,40.4,6052,"1260 of 3141"
"Jackson County",01071,40.5,21179,"1224 of 3141"
"Randolph County",01111,40.8,9202,"1138 of 3141"
"Fayette County",01057,41.2,6857,"1065 of 3141"
"Washington County",01129,41.5,6943,"1008 of 3141"
"Marion County",01093,41.5,12466,"1005 of 3141"
"Clay County",01027,41.9,5617,"940 of 3141"
"Covington County",01039,41.9,15732,"936 of 3141"
"Tallapoosa County",01123,42.3,17237,"878 of 3141"
"Henry County",01067,42.4,7248,"865 of 3141"
"Greene County",01063,42.4,3616,"862 of 3141"
"Lamar County",01075,42.5,5958,"849 of 3141"
"Winston County",01133,42.8,10263,"787 of 3141"
"Conecuh County",01035,43.1,5450,"748 of 3141"
"Choctaw County",01023,44.1,5817,"607 of 3141"
"Cherokee County",01019,44.6,11542,"546 of 3141"
"Coosa County",01037,45.6,5000,"451 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 50 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
