------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'topic': 'pop', 'demo': '00102', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_014.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alabama by County
Population: Age 18-39
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 18-39),Rank within US
"Alabama",01000,28.8,1397628,"17 of 52"
"United States",00000,29.8,95565066,"N/A"
"Lamar County",01075,22.4,3142,"532 of 3141"
"Coosa County",01037,22.4,2459,"538 of 3141"
"Cherokee County",01019,22.6,5852,"586 of 3141"
"Choctaw County",01023,22.7,2995,"606 of 3141"
"Winston County",01133,22.8,5458,"623 of 3141"
"Conecuh County",01035,23.0,2912,"699 of 3141"
"Clay County",01027,23.2,3109,"746 of 3141"
"Washington County",01129,23.5,3927,"804 of 3141"
"Marion County",01093,23.7,7138,"896 of 3141"
"Tallapoosa County",01123,24.1,9836,"1019 of 3141"
"Geneva County",01061,24.1,6415,"1021 of 3141"
"Fayette County",01057,24.3,4053,"1073 of 3141"
"Wilcox County",01131,24.4,2660,"1077 of 3141"
"Covington County",01039,24.4,9144,"1078 of 3141"
"Henry County",01067,24.5,4190,"1110 of 3141"
"Randolph County",01111,24.5,5520,"1116 of 3141"
"Cleburne County",01029,24.5,3665,"1123 of 3141"
"Jackson County",01071,24.6,12860,"1141 of 3141"
"Monroe County",01099,24.7,5363,"1175 of 3141"
"Colbert County",01033,24.8,13475,"1212 of 3141"
"Baldwin County",01003,24.8,50477,"1246 of 3141"
"Walker County",01127,24.9,16174,"1283 of 3141"
"Blount County",01009,25.0,14410,"1311 of 3141"
"Marengo County",01091,25.5,5030,"1485 of 3141"
"Greene County",01063,25.5,2175,"1489 of 3141"
"Clarke County",01025,25.5,6287,"1505 of 3141"
"Butler County",01013,25.6,5152,"1527 of 3141"
"Crenshaw County",01041,25.7,3569,"1573 of 3141"
"Chambers County",01017,25.8,8749,"1595 of 3141"
"Lawrence County",01079,25.9,8629,"1633 of 3141"
"Lowndes County",01085,26.2,2720,"1733 of 3141"
"Dallas County",01047,26.4,10758,"1769 of 3141"
"Marshall County",01095,26.5,25068,"1797 of 3141"
"Cullman County",01043,26.6,21715,"1839 of 3141"
"Etowah County",01055,26.8,27591,"1897 of 3141"
"St. Clair County",01115,26.8,23273,"1902 of 3141"
"Hale County",01065,26.9,4029,"1926 of 3141"
"Houston County",01069,26.9,27988,"1930 of 3141"
"Morgan County",01103,26.9,32034,"1931 of 3141"
"DeKalb County",01049,26.9,19147,"1936 of 3141"
"Pickens County",01107,27.3,5502,"2048 of 3141"
"Talladega County",01121,27.4,22188,"2095 of 3141"
"Coffee County",01031,27.5,14031,"2100 of 3141"
"Franklin County",01059,27.5,8667,"2111 of 3141"
"Chilton County",01021,27.5,12061,"2117 of 3141"
"Limestone County",01083,27.7,25406,"2159 of 3141"
"Shelby County",01117,27.9,58281,"2202 of 3141"
"Lauderdale County",01077,28.2,26127,"2272 of 3141"
"Escambia County",01053,28.2,10619,"2274 of 3141"
"Autauga County",01001,28.5,15693,"2344 of 3141"
"Bullock County",01011,28.7,3004,"2385 of 3141"
"Calhoun County",01015,29.0,33474,"2442 of 3141"
"Bibb County",01007,29.2,6595,"2479 of 3141"
"Mobile County",01097,29.3,121272,"2491 of 3141"
"Barbour County",01005,29.4,7702,"2515 of 3141"
"Elmore County",01051,29.4,23840,"2524 of 3141"
"Madison County",01089,29.7,104930,"2558 of 3141"
"Dale County",01045,29.8,14723,"2576 of 3141"
"Jefferson County",01073,30.0,197763,"2611 of 3141"
"Russell County",01113,30.3,17741,"2654 of 3141"
"Montgomery County",01101,31.2,70966,"2754 of 3141"
"Perry County",01105,31.4,3039,"2770 of 3141"
"Sumter County",01119,33.6,4396,"2922 of 3141"
"Macon County",01087,34.1,6596,"2938 of 3141"
"Tuscaloosa County",01125,38.5,78655,"3052 of 3141"
"Pike County",01109,39.3,13072,"3065 of 3141"
"Lee County",01081,39.7,62137,"3074 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 18-39, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
