------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alaska by Borough or Census Area
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Borough Or Census Area, FIPS,Value (Percent),People (Male),Rank within US
"United States",00000,49.2,158018753,"N/A"
"Alaska",02900,52.3,386319,"52 of 52"
"Denali Borough",02068,50.7,1168,"2439 of 3141"
"Lake and Peninsula Borough",02164,50.8,661,"2477 of 3141"
"Anchorage Municipality",02020,51.1,152311,"2560 of 3141"
"Sitka City and Borough",02220,51.3,4520,"2633 of 3141"
"Juneau City and Borough",02110,51.4,16663,"2655 of 3141"
"Ketchikan Gateway Borough",02130,51.4,7065,"2665 of 3141"
"Valdez-Cordova Census Area",02261,51.9,4901,"2761 of 3141"
"Dillingham Census Area",02070,52.0,2585,"2775 of 3141"
"Haines Borough",02100,52.1,1323,"2807 of 3141"
"Matanuska-Susitna Borough",02170,52.2,52767,"2809 of 3141"
"Kenai Peninsula Borough",02122,52.2,30261,"2816 of 3141"
"Wrangell-Petersburg Census Area",02280,52.2,3004,"2821 of 3141"
"Bethel Census Area",02050,52.5,9435,"2859 of 3141"
"Nome Census Area",02180,53.2,5250,"2918 of 3141"
"Wade Hampton Census Area",02270,53.4,4342,"2937 of 3141"
"Kodiak Island Borough",02150,53.5,7370,"2946 of 3141"
"Yakutat City and Borough",02282,53.7,366,"2962 of 3141"
"Yukon-Koyukuk Census Area",02290,53.8,2936,"2971 of 3141"
"Skagway-Hoonah-Angoon Census Area",02232,53.9,1717,"2977 of 3141"
"Fairbanks North Borough",02090,54.0,53967,"2979 of 3141"
"Northwest Arctic Borough",02188,54.0,4168,"2983 of 3141"
"Prince of Wales-Outer Ketchikan Census Area",02201,54.2,3509,"2992 of 3141"
"Southeast Fairbanks Census Area",02240,55.3,3813,"3034 of 3141"
"Bristol Bay Borough",02060,58.0,532,"3082 of 3141"
"Aleutians West Census Area",02016,61.2,3539,"3114 of 3141"
"Aleutians East Borough",02013,61.4,2049,"3115 of 3141"
"North Slope Borough",02185,62.5,6097,"3123 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
