locale,fips,value (percent),people (unemployed),rank within us,age,areatype,demo,file_name,race,sex,source_url,stateFIPS,topic,type
United States,0.0,6.6,10560305.0,,1,country,12,demographics_031.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,2,work,manyareacensus
Alaska,2900.0,7.7,29548.0,47 of 52,1,state,12,demographics_031.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,2,work,manyareacensus
Denali Borough,2068.0,1.9,29.0,127 of 3141,1,county,12,demographics_031.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,2,work,manyareacensus
Aleutians West Census Area,2016.0,1.9,77.0,132 of 3141,1,county,12,demographics_031.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,2,work,manyareacensus
Aleutians East Borough,2013.0,2.4,59.0,195 of 3141,1,county,12,demographics_031.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,2,work,manyareacensus
Haines Borough,2100.0,2.7,40.0,252 of 3141,1,county,12,demographics_031.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,2,work,manyareacensus
Juneau City and Borough,2110.0,4.8,906.0,962 of 3141,1,county,12,demographics_031.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,2,work,manyareacensus
Sitka City and Borough,2220.0,5.0,247.0,1041 of 3141,1,county,12,demographics_031.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,2,work,manyareacensus
Kodiak Island Borough,2150.0,5.3,396.0,1206 of 3141,1,county,12,demographics_031.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,2,work,manyareacensus
Wrangell-Petersburg Census Area,2280.0,5.7,165.0,1368 of 3141,1,county,12,demographics_031.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,2,work,manyareacensus
Anchorage Municipality,2020.0,5.8,9394.0,1434 of 3141,1,county,12,demographics_031.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,2,work,manyareacensus
Yakutat City and Borough,2282.0,6.5,26.0,1776 of 3141,1,county,12,demographics_031.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,2,work,manyareacensus
Bristol Bay Borough,2060.0,6.8,37.0,1961 of 3141,1,county,12,demographics_031.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,2,work,manyareacensus
Ketchikan Gateway Borough,2130.0,7.0,521.0,2063 of 3141,1,county,12,demographics_031.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,2,work,manyareacensus
Valdez-Cordova Census Area,2261.0,7.5,384.0,2227 of 3141,1,county,12,demographics_031.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,2,work,manyareacensus
Fairbanks North Borough,2090.0,8.0,4047.0,2421 of 3141,1,county,12,demographics_031.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,2,work,manyareacensus
