------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'topic': 'pop', 'demo': '00003', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_018.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alaska by Borough or Census Area
Population: Age 65 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Borough Or Census Area, FIPS,Value (Percent),People (Age 65 And Over),Rank within US
"Alaska",02900,10.1,74340,"52 of 52"
"United States",00000,14.9,47732389,"N/A"
"Wade Hampton Census Area",02270,5.4,439,"3140 of 3141"
"Aleutians West Census Area",02016,5.5,319,"3139 of 3141"
"North Slope Borough",02185,6.1,595,"3138 of 3141"
"Bethel Census Area",02050,7.1,1267,"3134 of 3141"
"Northwest Arctic Borough",02188,7.2,559,"3132 of 3141"
"Nome Census Area",02180,7.3,719,"3129 of 3141"
"Lake and Peninsula Borough",02164,7.5,98,"3127 of 3141"
"Denali Borough",02068,7.6,174,"3126 of 3141"
"Dillingham Census Area",02070,8.1,402,"3120 of 3141"
"Aleutians East Borough",02013,8.2,274,"3118 of 3141"
"Fairbanks North Borough",02090,8.7,8659,"3108 of 3141"
"Kodiak Island Borough",02150,8.8,1207,"3101 of 3141"
"Anchorage Municipality",02020,9.4,28148,"3087 of 3141"
"Bristol Bay Borough",02060,9.7,89,"3076 of 3141"
"Matanuska-Susitna Borough",02170,10.1,10218,"3060 of 3141"
"Juneau City and Borough",02110,11.3,3679,"2970 of 3141"
"Valdez-Cordova Census Area",02261,11.8,1118,"2913 of 3141"
"Southeast Fairbanks Census Area",02240,12.2,840,"2874 of 3141"
"Yukon-Koyukuk Census Area",02290,12.6,685,"2825 of 3141"
"Ketchikan Gateway Borough",02130,13.5,1861,"2677 of 3141"
"Prince of Wales-Outer Ketchikan Census Area",02201,13.8,895,"2628 of 3141"
"Sitka City and Borough",02220,13.9,1225,"2617 of 3141"
"Yakutat City and Borough",02282,13.9,95,"2613 of 3141"
"Kenai Peninsula Borough",02122,14.8,8577,"2424 of 3141"
"Skagway-Hoonah-Angoon Census Area",02232,16.5,525,"1945 of 3141"
"Wrangell-Petersburg Census Area",02280,19.2,1103,"1077 of 3141"
"Haines Borough",02100,22.5,570,"433 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 65 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
