------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alaska by Borough or Census Area
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Borough Or Census Area, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Alaska",02900,17.6,127005,"8 of 52"
"United States",00000,23.7,74202606,"N/A"
"Juneau City and Borough",02110,11.2,3572,"68 of 3141"
"Valdez-Cordova Census Area",02261,13.1,1223,"139 of 3141"
"Sitka City and Borough",02220,14.2,1227,"188 of 3141"
"Fairbanks North Borough",02090,14.2,13576,"191 of 3141"
"Anchorage Municipality",02020,14.6,42546,"215 of 3141"
"Kodiak Island Borough",02150,14.8,1999,"224 of 3141"
"Bristol Bay Borough",02060,15.0,134,"241 of 3141"
"Ketchikan Gateway Borough",02130,16.2,2192,"314 of 3141"
"Haines Borough",02100,16.4,409,"337 of 3141"
"Matanuska-Susitna Borough",02170,16.4,16294,"339 of 3141"
"Aleutians West Census Area",02016,16.9,938,"376 of 3141"
"Wrangell-Petersburg Census Area",02280,17.3,990,"420 of 3141"
"Skagway-Hoonah-Angoon Census Area",02232,18.4,585,"526 of 3141"
"Yakutat City and Borough",02282,18.6,127,"562 of 3141"
"North Slope Borough",02185,18.7,1795,"584 of 3141"
"Kenai Peninsula Borough",02122,20.5,11624,"813 of 3141"
"Southeast Fairbanks Census Area",02240,20.9,1418,"863 of 3141"
"Denali Borough",02068,22.1,500,"1025 of 3141"
"Aleutians East Borough",02013,26.0,866,"1588 of 3141"
"Prince of Wales-Outer Ketchikan Census Area",02201,26.4,1695,"1645 of 3141"
"Dillingham Census Area",02070,30.0,1477,"2137 of 3141"
"Lake and Peninsula Borough",02164,34.5,445,"2590 of 3141"
"Northwest Arctic Borough",02188,36.4,2778,"2747 of 3141"
"Nome Census Area",02180,38.0,3629,"2844 of 3141"
"Yukon-Koyukuk Census Area",02290,38.8,2090,"2874 of 3141"
"Bethel Census Area",02050,45.2,7863,"3053 of 3141"
"Wade Hampton Census Area",02270,62.0,5013,"3137 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
