------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'topic': 'inc', 'demo': '00010', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_004.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alaska by Borough or Census Area
Income: Median family income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Borough Or Census Area, FIPS,Value (Dollars),Rank within US
"United States",00000,70850.000000000,"N/A"
"Alaska",02900,88949.000000000,"6 of 52"
"Wade Hampton Census Area",02270,36230.000000000,"3083 of 3141"
"Lake and Peninsula Borough",02164,47750.000000000,"2661 of 3141"
"Yukon-Koyukuk Census Area",02290,48382.000000000,"2626 of 3141"
"Nome Census Area",02180,52347.000000000,"2278 of 3141"
"Bethel Census Area",02050,53614.000000000,"2165 of 3141"
"Northwest Arctic Borough",02188,58393.000000000,"1722 of 3141"
"Dillingham Census Area",02070,61198.000000000,"1417 of 3141"
"Prince of Wales-Outer Ketchikan Census Area",02201,66161.000000000,"980 of 3141"
"Skagway-Hoonah-Angoon Census Area",02232,72237.000000000,"599 of 3141"
"Wrangell-Petersburg Census Area",02280,73143.000000000,"537 of 3141"
"Aleutians East Borough",02013,73173.000000000,"535 of 3141"
"Haines Borough",02100,75000.000000000,"461 of 3141"
"Southeast Fairbanks Census Area",02240,77841.000000000,"362 of 3141"
"North Slope Borough",02185,79911.000000000,"316 of 3141"
"Yakutat City and Borough",02282,81250.000000000,"286 of 3141"
"Ketchikan Gateway Borough",02130,82244.000000000,"267 of 3141"
"Sitka City and Borough",02220,83889.000000000,"239 of 3141"
"Kenai Peninsula Borough",02122,84458.000000000,"231 of 3141"
"Matanuska-Susitna Borough",02170,89308.000000000,"172 of 3141"
"Fairbanks North Borough",02090,90038.000000000,"164 of 3141"
"Kodiak Island Borough",02150,92629.000000000,"131 of 3141"
"Aleutians West Census Area",02016,94306.000000000,"114 of 3141"
"Anchorage Municipality",02020,94913.000000000,"106 of 3141"
"Bristol Bay Borough",02060,96484.000000000,"100 of 3141"
"Denali Borough",02068,104044.000000000,"62 of 3141"
"Valdez-Cordova Census Area",02261,106599.000000000,"45 of 3141"
"Juneau City and Borough",02110,110923.000000000,"33 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median family income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
