------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alaska by Borough or Census Area
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Borough Or Census Area, FIPS,Value (Percent),People (AI/AN),Rank within US
"United States",00000,0.8,2632102,"N/A"
"Alaska",02900,14.2,104995,"1 of 52"
"Denali Borough",02068,2.2,50,"366 of 3141"
"Matanuska-Susitna Borough",02170,5.1,5193,"201 of 3141"
"Fairbanks North Borough",02090,6.8,6847,"170 of 3141"
"Anchorage Municipality",02020,7.3,21682,"160 of 3141"
"Kenai Peninsula Borough",02122,7.3,4229,"159 of 3141"
"Haines Borough",02100,7.6,194,"149 of 3141"
"Juneau City and Borough",02110,11.1,3611,"114 of 3141"
"Southeast Fairbanks Census Area",02240,11.5,794,"105 of 3141"
"Aleutians West Census Area",02016,11.8,680,"102 of 3141"
"Kodiak Island Borough",02150,13.3,1825,"93 of 3141"
"Wrangell-Petersburg Census Area",02280,13.6,783,"89 of 3141"
"Ketchikan Gateway Borough",02130,14.1,1942,"84 of 3141"
"Valdez-Cordova Census Area",02261,14.2,1342,"81 of 3141"
"Sitka City and Borough",02220,14.3,1262,"80 of 3141"
"Skagway-Hoonah-Angoon Census Area",02232,28.5,908,"46 of 3141"
"Yakutat City and Borough",02282,29.0,198,"45 of 3141"
"Bristol Bay Borough",02060,34.6,317,"41 of 3141"
"Aleutians East Borough",02013,38.1,1273,"38 of 3141"
"Prince of Wales-Outer Ketchikan Census Area",02201,40.7,2632,"34 of 3141"
"North Slope Borough",02185,52.1,5084,"26 of 3141"
"Lake and Peninsula Borough",02164,67.6,879,"18 of 3141"
"Yukon-Koyukuk Census Area",02290,71.0,3869,"16 of 3141"
"Dillingham Census Area",02070,72.9,3627,"15 of 3141"
"Nome Census Area",02180,73.5,7257,"13 of 3141"
"Northwest Arctic Borough",02188,81.8,6311,"7 of 3141"
"Bethel Census Area",02050,82.7,14847,"6 of 3141"
"Wade Hampton Census Area",02270,90.5,7359,"2 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: American Indian/Alaska Native, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
