------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'topic': 'pop', 'demo': '00029', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alaska by Borough or Census Area
Population: Age 50 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Borough Or Census Area, FIPS,Value (Percent),People (Age 50 And Over),Rank within US
"Alaska",02900,29.7,219520,"49 of 52"
"United States",00000,34.5,110609456,"N/A"
"Wade Hampton Census Area",02270,18.4,1496,"3137 of 3141"
"Northwest Arctic Borough",02188,22.3,1717,"3124 of 3141"
"Bethel Census Area",02050,22.3,4006,"3123 of 3141"
"Nome Census Area",02180,23.7,2336,"3112 of 3141"
"Fairbanks North Borough",02090,25.9,25859,"3078 of 3141"
"Dillingham Census Area",02070,27.2,1353,"3036 of 3141"
"Kodiak Island Borough",02150,27.5,3793,"3013 of 3141"
"Anchorage Municipality",02020,28.1,83891,"2981 of 3141"
"Lake and Peninsula Borough",02164,28.7,373,"2960 of 3141"
"Aleutians West Census Area",02016,29.5,1708,"2910 of 3141"
"Matanuska-Susitna Borough",02170,30.3,30674,"2853 of 3141"
"North Slope Borough",02185,31.0,3029,"2806 of 3141"
"Southeast Fairbanks Census Area",02240,33.0,2271,"2620 of 3141"
"Yukon-Koyukuk Census Area",02290,34.0,1853,"2501 of 3141"
"Juneau City and Borough",02110,34.1,11046,"2492 of 3141"
"Denali Borough",02068,35.3,814,"2302 of 3141"
"Valdez-Cordova Census Area",02261,35.5,3354,"2275 of 3141"
"Sitka City and Borough",02220,35.8,3158,"2223 of 3141"
"Aleutians East Borough",02013,36.2,1209,"2161 of 3141"
"Ketchikan Gateway Borough",02130,36.8,5060,"2060 of 3141"
"Yakutat City and Borough",02282,37.5,256,"1886 of 3141"
"Prince of Wales-Outer Ketchikan Census Area",02201,38.5,2490,"1689 of 3141"
"Kenai Peninsula Borough",02122,38.7,22414,"1651 of 3141"
"Bristol Bay Borough",02060,39.1,359,"1545 of 3141"
"Wrangell-Petersburg Census Area",02280,42.5,2441,"857 of 3141"
"Haines Borough",02100,44.3,1124,"584 of 3141"
"Skagway-Hoonah-Angoon Census Area",02232,45.1,1436,"506 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 50 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
