------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alaska by Borough or Census Area
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Borough Or Census Area, FIPS,Value (Percent),People (Hispanic),Rank within US
"Alaska",02900,6.8,50162,"32 of 52"
"United States",00000,17.6,56510571,"N/A"
"Denali Borough",02068,0.7,17,"3012 of 3141"
"Lake and Peninsula Borough",02164,1.5,20,"2657 of 3141"
"Wade Hampton Census Area",02270,1.6,132,"2592 of 3141"
"Yukon-Koyukuk Census Area",02290,2.1,117,"2304 of 3141"
"Bethel Census Area",02050,2.2,393,"2276 of 3141"
"Nome Census Area",02180,2.4,234,"2176 of 3141"
"Northwest Arctic Borough",02188,2.5,196,"2095 of 3141"
"Haines Borough",02100,2.8,71,"1970 of 3141"
"Dillingham Census Area",02070,3.1,155,"1832 of 3141"
"Prince of Wales-Outer Ketchikan Census Area",02201,3.7,238,"1647 of 3141"
"Kenai Peninsula Borough",02122,4.0,2293,"1575 of 3141"
"North Slope Borough",02185,4.1,401,"1531 of 3141"
"Bristol Bay Borough",02060,4.5,41,"1434 of 3141"
"Matanuska-Susitna Borough",02170,4.6,4666,"1399 of 3141"
"Ketchikan Gateway Borough",02130,4.8,655,"1367 of 3141"
"Valdez-Cordova Census Area",02261,4.8,453,"1357 of 3141"
"Southeast Fairbanks Census Area",02240,5.2,356,"1281 of 3141"
"Yakutat City and Borough",02282,5.6,38,"1204 of 3141"
"Skagway-Hoonah-Angoon Census Area",02232,5.9,188,"1141 of 3141"
"Sitka City and Borough",02220,6.3,555,"1084 of 3141"
"Juneau City and Borough",02110,6.4,2067,"1077 of 3141"
"Wrangell-Petersburg Census Area",02280,7.4,424,"955 of 3141"
"Fairbanks North Borough",02090,7.7,7714,"913 of 3141"
"Kodiak Island Borough",02150,8.9,1219,"819 of 3141"
"Anchorage Municipality",02020,8.9,26415,"817 of 3141"
"Aleutians East Borough",02013,9.7,324,"757 of 3141"
"Aleutians West Census Area",02016,13.5,780,"560 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
