------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alaska by Borough or Census Area
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Borough Or Census Area, FIPS,Value (Percent),People (API),Rank within US
"United States",00000,5.5,17756436,"N/A"
"Alaska",02900,7.4,54679,"7 of 52"
"Wade Hampton Census Area",02270,0.5,41,"1868 of 3141"
"Yukon-Koyukuk Census Area",02290,0.7,40,"1392 of 3141"
"Northwest Arctic Borough",02188,0.9,69,"1183 of 3141"
"Bethel Census Area",02050,0.9,169,"1136 of 3141"
"Matanuska-Susitna Borough",02170,1.5,1509,"715 of 3141"
"Dillingham Census Area",02070,1.5,75,"708 of 3141"
"Nome Census Area",02180,1.7,170,"620 of 3141"
"Bristol Bay Borough",02060,1.7,16,"614 of 3141"
"Prince of Wales-Outer Ketchikan Census Area",02201,1.8,114,"607 of 3141"
"Kenai Peninsula Borough",02122,1.8,1054,"592 of 3141"
"Southeast Fairbanks Census Area",02240,2.0,135,"548 of 3141"
"Lake and Peninsula Borough",02164,2.4,31,"450 of 3141"
"Skagway-Hoonah-Angoon Census Area",02232,3.2,102,"301 of 3141"
"Valdez-Cordova Census Area",02261,3.4,325,"274 of 3141"
"Fairbanks North Borough",02090,3.7,3667,"256 of 3141"
"Haines Borough",02100,4.1,105,"215 of 3141"
"Denali Borough",02068,4.7,109,"177 of 3141"
"Wrangell-Petersburg Census Area",02280,5.8,335,"125 of 3141"
"Yakutat City and Borough",02282,6.7,46,"92 of 3141"
"Sitka City and Borough",02220,7.3,645,"79 of 3141"
"North Slope Borough",02185,7.7,750,"73 of 3141"
"Ketchikan Gateway Borough",02130,8.1,1108,"66 of 3141"
"Juneau City and Borough",02110,8.3,2692,"62 of 3141"
"Anchorage Municipality",02020,11.7,34884,"38 of 3141"
"Kodiak Island Borough",02150,23.3,3205,"14 of 3141"
"Aleutians East Borough",02013,27.6,920,"11 of 3141"
"Aleutians West Census Area",02016,40.9,2363,"4 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
