------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alaska by Borough or Census Area
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Borough Or Census Area, FIPS,Value (Percent),People (Black),Rank within US
"Alaska",02900,3.2,23702,"40 of 52"
"United States",00000,12.7,40610815,"N/A"
"Haines Borough",02100,0.0,1,"3028 of 3141"
"Yukon-Koyukuk Census Area",02290,0.1,5,"2972 of 3141"
"Valdez-Cordova Census Area",02261,0.1,13,"2920 of 3141"
"Prince of Wales-Outer Ketchikan Census Area",02201,0.2,10,"2902 of 3141"
"Denali Borough",02068,0.2,4,"2887 of 3141"
"Kodiak Island Borough",02150,0.2,27,"2864 of 3141"
"Wrangell-Petersburg Census Area",02280,0.4,23,"2648 of 3141"
"Bristol Bay Borough",02060,0.4,4,"2612 of 3141"
"Dillingham Census Area",02070,0.4,22,"2603 of 3141"
"Kenai Peninsula Borough",02122,0.5,311,"2483 of 3141"
"Ketchikan Gateway Borough",02130,0.5,75,"2474 of 3141"
"North Slope Borough",02185,0.7,64,"2344 of 3141"
"Bethel Census Area",02050,0.7,120,"2322 of 3141"
"Lake and Peninsula Borough",02164,0.7,9,"2293 of 3141"
"Northwest Arctic Borough",02188,0.8,58,"2240 of 3141"
"Nome Census Area",02180,0.8,75,"2233 of 3141"
"Wade Hampton Census Area",02270,0.8,63,"2222 of 3141"
"Yakutat City and Borough",02282,0.9,6,"2123 of 3141"
"Sitka City and Borough",02220,1.0,85,"2061 of 3141"
"Juneau City and Borough",02110,1.1,343,"2004 of 3141"
"Matanuska-Susitna Borough",02170,1.1,1138,"1974 of 3141"
"Southeast Fairbanks Census Area",02240,1.7,119,"1707 of 3141"
"Skagway-Hoonah-Angoon Census Area",02232,2.2,71,"1573 of 3141"
"Fairbanks North Borough",02090,4.2,4251,"1222 of 3141"
"Aleutians West Census Area",02016,5.1,295,"1128 of 3141"
"Aleutians East Borough",02013,5.2,175,"1112 of 3141"
"Anchorage Municipality",02020,5.5,16335,"1088 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Black, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
