------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alaska by Borough or Census Area
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Borough Or Census Area, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"Alaska",02900,81.2,591240,"49 of 51"
"United States",00000,85.4,270854872,"N/A"
"Denali Borough",02068,67.3,1539,"3132 of 3140"
"Fairbanks North Borough",02090,77.1,75876,"3048 of 3140"
"Aleutians West Census Area",02016,78.2,4486,"3026 of 3140"
"Yakutat City and Borough",02282,78.3,529,"3021 of 3140"
"Bristol Bay Borough",02060,79.2,717,"2982 of 3140"
"Valdez-Cordova Census Area",02261,79.5,7453,"2969 of 3140"
"Anchorage Municipality",02020,80.0,235360,"2935 of 3140"
"Sitka City and Borough",02220,80.0,6985,"2934 of 3140"
"Ketchikan Gateway Borough",02130,80.4,10894,"2905 of 3140"
"Southeast Fairbanks Census Area",02240,81.0,5483,"2857 of 3140"
"Juneau City and Borough",02110,81.2,26131,"2836 of 3140"
"Aleutians East Borough",02013,82.0,2725,"2759 of 3140"
"Kenai Peninsula Borough",02122,82.3,47233,"2718 of 3140"
"Skagway-Hoonah-Angoon Census Area",02232,82.5,2595,"2687 of 3140"
"Haines Borough",02100,82.7,2093,"2662 of 3140"
"Kodiak Island Borough",02150,83.4,11296,"2562 of 3140"
"Matanuska-Susitna Borough",02170,83.9,83775,"2444 of 3140"
"North Slope Borough",02185,85.0,8142,"2217 of 3140"
"Nome Census Area",02180,85.0,8225,"2210 of 3140"
"Dillingham Census Area",02070,85.9,4208,"1982 of 3140"
"Northwest Arctic Borough",02188,86.5,6537,"1780 of 3140"
"Prince of Wales-Outer Ketchikan Census Area",02201,86.6,5527,"1750 of 3140"
"Yukon-Koyukuk Census Area",02290,87.0,4680,"1628 of 3140"
"Bethel Census Area",02050,87.0,15344,"1611 of 3140"
"Lake and Peninsula Borough",02164,87.6,1127,"1400 of 3140"
"Wrangell-Petersburg Census Area",02280,88.2,5006,"1184 of 3140"
"Wade Hampton Census Area",02270,91.6,7274,"297 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Haven't moved (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
