------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'topic': 'inc', 'demo': '00011', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alaska by Borough or Census Area
Income: Median household income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Borough Or Census Area, FIPS,Value (Dollars),Rank within US
"United States",00000,57652.000000000,"N/A"
"Alaska",02900,76114.000000000,"4 of 52"
"Wade Hampton Census Area",02270,36468.000000000,"2765 of 3141"
"Yukon-Koyukuk Census Area",02290,37819.000000000,"2651 of 3141"
"Lake and Peninsula Borough",02164,45208.000000000,"1903 of 3141"
"Prince of Wales-Outer Ketchikan Census Area",02201,51760.000000000,"1144 of 3141"
"Nome Census Area",02180,53821.000000000,"941 of 3141"
"Bethel Census Area",02050,53853.000000000,"936 of 3141"
"Dillingham Census Area",02070,58708.000000000,"587 of 3141"
"Wrangell-Petersburg Census Area",02280,60439.000000000,"500 of 3141"
"Northwest Arctic Borough",02188,61533.000000000,"443 of 3141"
"Skagway-Hoonah-Angoon Census Area",02232,61823.000000000,"429 of 3141"
"Southeast Fairbanks Census Area",02240,63866.000000000,"352 of 3141"
"Yakutat City and Borough",02282,64583.000000000,"333 of 3141"
"Kenai Peninsula Borough",02122,65279.000000000,"316 of 3141"
"Aleutians East Borough",02013,66607.000000000,"275 of 3141"
"Ketchikan Gateway Borough",02130,67321.000000000,"263 of 3141"
"Haines Borough",02100,70640.000000000,"213 of 3141"
"Sitka City and Borough",02220,70765.000000000,"210 of 3141"
"Kodiak Island Borough",02150,74167.000000000,"169 of 3141"
"Matanuska-Susitna Borough",02170,74887.000000000,"158 of 3141"
"Fairbanks North Borough",02090,76250.000000000,"143 of 3141"
"North Slope Borough",02185,77266.000000000,"135 of 3141"
"Bristol Bay Borough",02060,79500.000000000,"114 of 3141"
"Anchorage Municipality",02020,82271.000000000,"84 of 3141"
"Denali Borough",02068,83295.000000000,"79 of 3141"
"Aleutians West Census Area",02016,85192.000000000,"67 of 3141"
"Valdez-Cordova Census Area",02261,86019.000000000,"63 of 3141"
"Juneau City and Borough",02110,90749.000000000,"44 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median household income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
