------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=02&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alaska by Borough or Census Area
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

Borough Or Census Area, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Alaska",02900,2.7,12656,"5 of 52"
"United States",00000,5.4,11759554,"N/A"
"Denali Borough",02068,0.4,6,"12 of 3141"
"Valdez-Cordova Census Area",02261,1.3,83,"89 of 3141"
"Juneau City and Borough",02110,1.4,302,"100 of 3141"
"Fairbanks North Borough",02090,1.5,933,"143 of 3141"
"Haines Borough",02100,1.6,29,"162 of 3141"
"Yakutat City and Borough",02282,1.7,8,"192 of 3141"
"Sitka City and Borough",02220,1.7,103,"194 of 3141"
"Kenai Peninsula Borough",02122,1.8,723,"244 of 3141"
"Matanuska-Susitna Borough",02170,1.9,1242,"287 of 3141"
"Ketchikan Gateway Borough",02130,2.0,188,"312 of 3141"
"Prince of Wales-Outer Ketchikan Census Area",02201,2.1,92,"360 of 3141"
"Wrangell-Petersburg Census Area",02280,2.7,107,"661 of 3141"
"Anchorage Municipality",02020,2.7,5275,"723 of 3141"
"Southeast Fairbanks Census Area",02240,3.4,154,"1146 of 3141"
"Skagway-Hoonah-Angoon Census Area",02232,3.5,88,"1204 of 3141"
"North Slope Borough",02185,3.9,252,"1381 of 3141"
"Bristol Bay Borough",02060,4.0,26,"1433 of 3141"
"Nome Census Area",02180,4.6,252,"1729 of 3141"
"Aleutians West Census Area",02016,5.2,217,"1935 of 3141"
"Yukon-Koyukuk Census Area",02290,5.9,205,"2193 of 3141"
"Kodiak Island Borough",02150,6.1,546,"2223 of 3141"
"Lake and Peninsula Borough",02164,6.2,49,"2262 of 3141"
"Aleutians East Borough",02013,6.7,171,"2401 of 3141"
"Dillingham Census Area",02070,6.7,193,"2405 of 3141"
"Northwest Arctic Borough",02188,6.8,278,"2424 of 3141"
"Wade Hampton Census Area",02270,7.6,297,"2591 of 3141"
"Bethel Census Area",02050,8.7,837,"2749 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
