------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=49&areatype=county&cancer=020&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '49', 'areatype': 'county', 'cancer': '020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=49&areatype=county&cancer=020&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Utah by County

"Colon & Rectum (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Utah(7,8)",49000,Yes,29.7 ,28.7, 30.7,730,falling,-3.1 ,-3.7, -2.4
"US (SEER+NPCR)(1,10)",00000,Yes,38.7 ,38.6, 38.8,140982,falling,-1.3 ,-2.1, -0.6
"Duchesne County(7,8)",49013,No,48.5 ,34.8, 65.6,8,stable,-0.7 ,-2.8, 1.4
"Uintah County(7,8)",49047,No,48 ,37.1, 60.9,14,stable,1.4 ,-0.2, 2.9
"Iron County(7,8)",49021,No,41.2 ,32.6, 51.3,17,rising,14.2 ,2.3, 27.6
"Carbon County(7,8)",49007,No,40.9 ,30.2, 54.4,10,falling,-2.1 ,-3.5, -0.7
"Grand County(7,8)",49019,No,39.9 ,24.4, 61.9,4,stable,0.8 ,-2.0, 3.7
"Kane County(7)",49025,Yes,38.3 ,22.6, 62,4,*,*,*,*
"Millard County(7,8)",49027,Yes,36.6 ,23.1, 55.1,5,stable,0.5 ,-1.9, 2.9
"Wasatch County(7,8)",49051,Yes,34.8 ,24.7, 47.6,8,stable,-1.8 ,-4.2, 0.6
"Juab County(7)",49023,Yes,34.5 ,19.6, 56.1,3,*,*,*,*
"Utah County(7,8)",49049,Yes,31.2 ,28.5, 33.9,109,falling,-0.9 ,-1.7, -0.1
"Weber County(7,8)",49057,Yes,30.9 ,27.7, 34.5,67,falling,-2.9 ,-4.6, -1.2
"Box Elder County(7,8)",49003,Yes,30.4 ,23.8, 38.2,15,stable,-1.9 ,-3.8, 0.1
"Washington County(7,8)",49053,Yes,30.3 ,26.7, 34.3,57,falling,-2.1 ,-2.9, -1.3
"Sevier County(7,8)",49041,Yes,30 ,20.8, 42,7,stable,-2.0 ,-4.1, 0.2
"Emery County(7)",49015,Yes,29 ,17, 46.6,4,*,*,*,*
"Salt Lake County(7,8)",49035,Yes,28.6 ,27.1, 30.2,267,falling,-3.2 ,-4.1, -2.3
"Davis County(7,8)",49011,Yes,27.4 ,24.5, 30.4,70,falling,-5.4 ,-8.4, -2.3
