------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '56', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wyoming by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"Wyoming",56000,4.7,14459,"9 of 52"
"United States",00000,6.6,10560305,"N/A"
"Niobrara County",56027,0.0,0,"1 of 3141"
"Teton County",56039,1.3,187,"56 of 3141"
"Weston County",56045,2.2,78,"170 of 3141"
"Platte County",56031,2.5,110,"212 of 3141"
"Sheridan County",56033,3.1,474,"345 of 3141"
"Park County",56029,3.3,516,"393 of 3141"
"Carbon County",56007,3.4,262,"411 of 3141"
"Crook County",56011,3.6,136,"498 of 3141"
"Hot Springs County",56017,4.1,97,"643 of 3141"
"Sublette County",56035,4.2,239,"710 of 3141"
"Johnson County",56019,4.3,192,"736 of 3141"
"Campbell County",56005,4.6,1229,"864 of 3141"
"Big Horn County",56003,4.7,262,"922 of 3141"
"Albany County",56001,4.8,1057,"943 of 3141"
"Natrona County",56025,5.1,2229,"1090 of 3141"
"Sweetwater County",56037,5.2,1245,"1138 of 3141"
"Laramie County",56021,5.3,2641,"1183 of 3141"
"Converse County",56009,5.8,423,"1421 of 3141"
"Fremont County",56013,6.0,1182,"1522 of 3141"
"Lincoln County",56023,6.0,578,"1524 of 3141"
"Washakie County",56043,6.1,248,"1586 of 3141"
"Uinta County",56041,6.4,649,"1735 of 3141"
"Goshen County",56015,6.5,425,"1809 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:22 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
