------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '56', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wyoming by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Wyoming",56000,11.1,63398,"11 of 52"
"United States",00000,14.6,45650345,"N/A"
"Crook County",56011,5.1,370,"45 of 3141"
"Sheridan County",56033,6.8,1986,"127 of 3141"
"Teton County",56039,6.8,1561,"131 of 3141"
"Park County",56029,7.0,2000,"146 of 3141"
"Sublette County",56035,7.4,743,"180 of 3141"
"Converse County",56009,8.0,1120,"230 of 3141"
"Lincoln County",56023,9.3,1728,"404 of 3141"
"Campbell County",56005,9.4,4450,"419 of 3141"
"Johnson County",56019,9.9,838,"527 of 3141"
"Natrona County",56025,9.9,7849,"528 of 3141"
"Laramie County",56021,10.4,9828,"599 of 3141"
"Platte County",56031,10.5,902,"625 of 3141"
"Sweetwater County",56037,12.0,5274,"923 of 3141"
"Hot Springs County",56017,12.5,579,"1008 of 3141"
"Washakie County",56043,12.8,1039,"1080 of 3141"
"Big Horn County",56003,13.0,1518,"1124 of 3141"
"Goshen County",56015,13.2,1701,"1177 of 3141"
"Carbon County",56007,13.3,1985,"1209 of 3141"
"Fremont County",56013,13.7,5380,"1266 of 3141"
"Weston County",56045,14.4,973,"1421 of 3141"
"Uinta County",56041,14.9,3048,"1501 of 3141"
"Niobrara County",56027,14.9,321,"1514 of 3141"
"Albany County",56001,23.0,8205,"2741 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:22 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
