------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '56', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wyoming by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Wyoming",56000,2.1,4823,"31 of 52"
"United States",00000,3.3,3975282,"N/A"
"Platte County",56031,0.3,10,"3062 of 3141"
"Sublette County",56035,0.7,23,"2873 of 3141"
"Johnson County",56019,0.7,28,"2856 of 3141"
"Sheridan County",56033,0.8,104,"2818 of 3141"
"Park County",56029,0.9,104,"2732 of 3141"
"Goshen County",56015,1.0,53,"2619 of 3141"
"Weston County",56045,1.0,32,"2607 of 3141"
"Laramie County",56021,1.2,455,"2397 of 3141"
"Niobrara County",56027,1.3,13,"2221 of 3141"
"Washakie County",56043,1.6,56,"1916 of 3141"
"Crook County",56011,1.7,50,"1850 of 3141"
"Natrona County",56025,2.0,660,"1497 of 3141"
"Big Horn County",56003,2.1,93,"1425 of 3141"
"Hot Springs County",56017,2.1,47,"1409 of 3141"
"Albany County",56001,2.4,382,"1119 of 3141"
"Sweetwater County",56037,2.4,395,"1083 of 3141"
"Lincoln County",56023,2.7,190,"886 of 3141"
"Campbell County",56005,2.7,479,"865 of 3141"
"Uinta County",56041,2.7,210,"862 of 3141"
"Carbon County",56007,3.1,191,"700 of 3141"
"Fremont County",56013,3.7,563,"453 of 3141"
"Converse County",56009,4.0,225,"385 of 3141"
"Teton County",56039,5.2,460,"199 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:22 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
