------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '56', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wyoming by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"United States",00000,22.9,73601279,"N/A"
"Wyoming",56000,23.7,138358,"15 of 52"
"Albany County",56001,16.4,6214,"3035 of 3141"
"Teton County",56039,19.3,4435,"2663 of 3141"
"Niobrara County",56027,19.4,480,"2656 of 3141"
"Hot Springs County",56017,20.3,964,"2388 of 3141"
"Goshen County",56015,20.6,2780,"2297 of 3141"
"Park County",56029,20.8,6085,"2242 of 3141"
"Platte County",56031,20.8,1811,"2226 of 3141"
"Weston County",56045,21.1,1499,"2134 of 3141"
"Sheridan County",56033,21.9,6557,"1828 of 3141"
"Johnson County",56019,22.1,1891,"1734 of 3141"
"Laramie County",56021,23.3,22580,"1192 of 3141"
"Carbon County",56007,23.6,3697,"1071 of 3141"
"Natrona County",56025,24.1,19521,"842 of 3141"
"Crook County",56011,24.2,1776,"801 of 3141"
"Sublette County",56035,24.4,2450,"714 of 3141"
"Washakie County",56043,24.6,2030,"657 of 3141"
"Converse County",56009,25.2,3567,"501 of 3141"
"Fremont County",56013,25.3,10213,"476 of 3141"
"Big Horn County",56003,25.6,3054,"418 of 3141"
"Sweetwater County",56037,26.9,11956,"271 of 3141"
"Lincoln County",56023,27.4,5155,"211 of 3141"
"Campbell County",56005,28.1,13499,"162 of 3141"
"Uinta County",56041,29.6,6144,"100 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:22 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age under 18, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
