------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '56', 'areatype': 'county', 'topic': 'pop', 'demo': '00103', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_015.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wyoming by County
Population: Age 40-64
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40-64),Rank within US
"Wyoming",56000,32.0,186421,"20 of 52"
"United States",00000,32.4,104105673,"N/A"
"Albany County",56001,23.1,8748,"24 of 3141"
"Big Horn County",56003,31.4,3741,"701 of 3141"
"Laramie County",56021,31.4,30501,"719 of 3141"
"Niobrara County",56027,31.5,781,"740 of 3141"
"Sweetwater County",56037,31.5,14041,"750 of 3141"
"Fremont County",56013,31.6,12746,"770 of 3141"
"Uinta County",56041,31.7,6585,"811 of 3141"
"Natrona County",56025,32.0,25904,"899 of 3141"
"Sublette County",56035,32.0,3211,"904 of 3141"
"Campbell County",56005,32.4,15581,"1066 of 3141"
"Carbon County",56007,33.2,5204,"1418 of 3141"
"Washakie County",56043,33.5,2763,"1581 of 3141"
"Lincoln County",56023,33.5,6299,"1607 of 3141"
"Goshen County",56015,33.6,4525,"1623 of 3141"
"Park County",56029,33.9,9923,"1823 of 3141"
"Sheridan County",56033,34.0,10192,"1876 of 3141"
"Platte County",56031,34.3,2986,"2018 of 3141"
"Weston County",56045,34.4,2449,"2073 of 3141"
"Teton County",56039,34.5,7909,"2126 of 3141"
"Hot Springs County",56017,34.6,1641,"2176 of 3141"
"Crook County",56011,34.9,2565,"2324 of 3141"
"Converse County",56009,35.4,5016,"2512 of 3141"
"Johnson County",56019,36.3,3110,"2792 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:22 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40-64, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
