------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '56', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wyoming by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"Wyoming",56000,1.0,5572,"49 of 52"
"United States",00000,5.5,17756436,"N/A"
"Converse County",56009,0.0,0,"2927 of 3141"
"Hot Springs County",56017,0.0,0,"2927 of 3141"
"Johnson County",56019,0.0,0,"2927 of 3141"
"Sublette County",56035,0.1,10,"2781 of 3141"
"Uinta County",56041,0.1,25,"2738 of 3141"
"Washakie County",56043,0.1,11,"2710 of 3141"
"Fremont County",56013,0.2,77,"2602 of 3141"
"Lincoln County",56023,0.3,55,"2404 of 3141"
"Crook County",56011,0.3,23,"2357 of 3141"
"Goshen County",56015,0.4,58,"2065 of 3141"
"Campbell County",56005,0.5,229,"1947 of 3141"
"Platte County",56031,0.5,43,"1898 of 3141"
"Park County",56029,0.5,156,"1802 of 3141"
"Big Horn County",56003,0.5,65,"1766 of 3141"
"Niobrara County",56027,0.7,17,"1498 of 3141"
"Sheridan County",56033,0.8,229,"1347 of 3141"
"Natrona County",56025,0.8,657,"1283 of 3141"
"Carbon County",56007,0.9,142,"1172 of 3141"
"Sweetwater County",56037,1.0,464,"1030 of 3141"
"Laramie County",56021,1.4,1356,"769 of 3141"
"Teton County",56039,2.2,504,"484 of 3141"
"Albany County",56001,3.0,1143,"330 of 3141"
"Weston County",56045,4.3,308,"201 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:22 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
