------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '56', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wyoming by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"Wyoming",56000,7.3,10942,"9 of 52"
"United States",00000,10.5,8253388,"N/A"
"Teton County",56039,1.8,95,"15 of 3141"
"Park County",56029,3.7,297,"94 of 3141"
"Converse County",56009,3.8,150,"111 of 3141"
"Sheridan County",56033,3.9,322,"118 of 3141"
"Sublette County",56035,4.5,97,"181 of 3141"
"Crook County",56011,5.1,109,"256 of 3141"
"Johnson County",56019,5.7,139,"349 of 3141"
"Natrona County",56025,6.2,1262,"452 of 3141"
"Lincoln County",56023,6.3,310,"480 of 3141"
"Hot Springs County",56017,6.7,90,"553 of 3141"
"Campbell County",56005,6.9,851,"612 of 3141"
"Laramie County",56021,7.5,1916,"762 of 3141"
"Platte County",56031,8.3,201,"983 of 3141"
"Washakie County",56043,8.6,200,"1040 of 3141"
"Albany County",56001,8.8,678,"1091 of 3141"
"Fremont County",56013,8.8,875,"1114 of 3141"
"Big Horn County",56003,8.9,258,"1137 of 3141"
"Sweetwater County",56037,10.5,1180,"1536 of 3141"
"Goshen County",56015,11.0,394,"1657 of 3141"
"Weston County",56045,11.2,234,"1715 of 3141"
"Carbon County",56007,11.7,486,"1836 of 3141"
"Uinta County",56041,13.1,717,"2120 of 3141"
"Niobrara County",56027,15.4,81,"2499 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:22 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
