------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '56', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wyoming by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Wyoming",56000,26.7,103954,"41 of 52"
"United States",00000,30.9,66887603,"N/A"
"Uinta County",56041,17.4,2259,"1859 of 3141"
"Converse County",56009,18.2,1730,"1726 of 3141"
"Niobrara County",56027,18.3,324,"1695 of 3141"
"Campbell County",56005,18.5,5640,"1670 of 3141"
"Big Horn County",56003,19.2,1543,"1531 of 3141"
"Weston County",56045,19.8,1007,"1423 of 3141"
"Lincoln County",56023,20.5,2554,"1312 of 3141"
"Crook County",56011,20.7,1060,"1268 of 3141"
"Carbon County",56007,20.9,2223,"1244 of 3141"
"Washakie County",56043,21.0,1198,"1227 of 3141"
"Hot Springs County",56017,21.6,777,"1165 of 3141"
"Sweetwater County",56037,22.2,6306,"1084 of 3141"
"Platte County",56031,22.6,1423,"1031 of 3141"
"Natrona County",56025,22.8,12402,"1000 of 3141"
"Fremont County",56013,23.3,6231,"951 of 3141"
"Goshen County",56015,24.4,2301,"845 of 3141"
"Sublette County",56035,25.4,1793,"774 of 3141"
"Johnson County",56019,26.8,1624,"663 of 3141"
"Laramie County",56021,28.7,18695,"549 of 3141"
"Sheridan County",56033,31.3,6594,"408 of 3141"
"Park County",56029,32.2,6661,"368 of 3141"
"Albany County",56001,49.8,10404,"50 of 3141"
"Teton County",56039,54.1,9205,"23 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:22 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
