------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '56', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wyoming by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"United States",00000,73.0,234370202,"N/A"
"Wyoming",56000,91.3,532394,"5 of 52"
"Fremont County",56013,73.3,29564,"2474 of 3141"
"Laramie County",56021,88.7,86020,"1676 of 3141"
"Albany County",56001,89.8,34064,"1574 of 3141"
"Washakie County",56043,90.0,7427,"1560 of 3141"
"Teton County",56039,90.2,20672,"1544 of 3141"
"Johnson County",56019,92.3,7900,"1282 of 3141"
"Niobrara County",56027,92.5,2292,"1263 of 3141"
"Sweetwater County",56037,92.9,41349,"1209 of 3141"
"Carbon County",56007,92.9,14575,"1204 of 3141"
"Weston County",56045,93.0,6619,"1195 of 3141"
"Goshen County",56015,93.2,12565,"1150 of 3141"
"Natrona County",56025,93.3,75588,"1134 of 3141"
"Uinta County",56041,94.0,19516,"1012 of 3141"
"Park County",56029,94.2,27583,"987 of 3141"
"Sheridan County",56033,94.4,28275,"958 of 3141"
"Campbell County",56005,94.6,45527,"898 of 3141"
"Platte County",56031,95.2,8282,"796 of 3141"
"Big Horn County",56003,95.4,11372,"757 of 3141"
"Hot Springs County",56017,95.8,4542,"659 of 3141"
"Lincoln County",56023,95.9,18022,"633 of 3141"
"Sublette County",56035,96.3,9661,"538 of 3141"
"Crook County",56011,96.6,7099,"437 of 3141"
"Converse County",56009,98.0,13880,"95 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:22 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
