------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '56', 'areatype': 'county', 'topic': 'mob', 'demo': '00021', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wyoming by County
Mobility: Moved from outside US (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Outside US),Rank within US
"Wyoming",56000,0.4,2257,"12 of 51"
"United States",00000,0.7,2074097,"N/A"
"Niobrara County",56027,0.0,0,"1 of 3140"
"Weston County",56045,0.0,0,"1 of 3140"
"Crook County",56011,0.0,1,"387 of 3140"
"Park County",56029,0.1,25,"835 of 3140"
"Converse County",56009,0.1,12,"839 of 3140"
"Washakie County",56043,0.1,9,"990 of 3140"
"Big Horn County",56003,0.1,14,"1069 of 3140"
"Goshen County",56015,0.1,16,"1076 of 3140"
"Sweetwater County",56037,0.1,61,"1195 of 3140"
"Fremont County",56013,0.1,59,"1246 of 3140"
"Sheridan County",56033,0.2,55,"1491 of 3140"
"Uinta County",56041,0.2,45,"1678 of 3140"
"Campbell County",56005,0.2,108,"1711 of 3140"
"Johnson County",56019,0.3,27,"2080 of 3140"
"Laramie County",56021,0.4,427,"2403 of 3140"
"Platte County",56031,0.5,44,"2522 of 3140"
"Carbon County",56007,0.5,79,"2524 of 3140"
"Natrona County",56025,0.5,438,"2589 of 3140"
"Lincoln County",56023,0.6,111,"2656 of 3140"
"Hot Springs County",56017,0.7,31,"2739 of 3140"
"Sublette County",56035,0.7,74,"2820 of 3140"
"Albany County",56001,0.9,328,"2909 of 3140"
"Teton County",56039,1.3,293,"3029 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:22 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved from outside US (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
