------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '56', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wyoming by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Wyoming",56000,9.7,56681,"24 of 52"
"United States",00000,17.6,56510571,"N/A"
"Weston County",56045,1.4,103,"2718 of 3141"
"Hot Springs County",56017,1.9,92,"2415 of 3141"
"Johnson County",56019,2.1,182,"2314 of 3141"
"Crook County",56011,2.3,172,"2190 of 3141"
"Sheridan County",56033,4.2,1262,"1502 of 3141"
"Niobrara County",56027,4.3,107,"1470 of 3141"
"Lincoln County",56023,4.5,842,"1431 of 3141"
"Park County",56029,5.7,1679,"1175 of 3141"
"Fremont County",56013,6.8,2736,"1019 of 3141"
"Sublette County",56035,7.3,731,"967 of 3141"
"Platte County",56031,7.8,678,"906 of 3141"
"Converse County",56009,7.8,1108,"904 of 3141"
"Natrona County",56025,8.2,6666,"880 of 3141"
"Campbell County",56005,8.4,4052,"858 of 3141"
"Big Horn County",56003,8.8,1045,"827 of 3141"
"Uinta County",56041,9.1,1883,"805 of 3141"
"Albany County",56001,9.3,3528,"784 of 3141"
"Goshen County",56015,10.6,1424,"702 of 3141"
"Washakie County",56043,14.2,1175,"541 of 3141"
"Laramie County",56021,14.3,13839,"537 of 3141"
"Teton County",56039,15.0,3439,"511 of 3141"
"Sweetwater County",56037,16.0,7127,"479 of 3141"
"Carbon County",56007,17.9,2811,"430 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:22 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
