------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '32', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nevada by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"United States",00000,3.3,3975282,"N/A"
"Nevada",32000,4.2,43884,"7 of 52"
"Storey County",32029,0.0,0,"3097 of 3141"
"Lincoln County",32017,0.3,5,"3063 of 3141"
"Eureka County",32011,1.2,9,"2409 of 3141"
"Douglas County",32005,2.2,440,"1339 of 3141"
"White Pine County",32033,2.5,84,"1009 of 3141"
"Lyon County",32019,2.6,531,"934 of 3141"
"Esmeralda County",32009,3.0,15,"719 of 3141"
"Churchill County",32001,3.3,318,"607 of 3141"
"Lander County",32015,3.3,72,"596 of 3141"
"Nye County",32023,3.4,610,"560 of 3141"
"Elko County",32007,3.4,609,"554 of 3141"
"Humboldt County",32013,3.5,220,"517 of 3141"
"Clark County",32003,4.3,32065,"320 of 3141"
"Carson City",32510,4.3,960,"313 of 3141"
"Washoe County",32031,4.4,7671,"300 of 3141"
"Pershing County",32027,5.9,120,"156 of 3141"
"Mineral County",32021,8.3,155,"74 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
