------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '32', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nevada by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"United States",00000,13.4,43028127,"N/A"
"Nevada",32000,19.5,561744,"5 of 51"
"Eureka County",32011,1.2,21,"2465 of 3140"
"Lincoln County",32017,2.9,153,"1454 of 3140"
"Storey County",32029,3.3,130,"1307 of 3140"
"White Pine County",32033,4.4,434,"1023 of 3140"
"Mineral County",32021,5.4,242,"847 of 3140"
"Lyon County",32019,6.6,3478,"656 of 3140"
"Churchill County",32001,6.7,1608,"650 of 3140"
"Douglas County",32005,7.6,3610,"547 of 3140"
"Nye County",32023,7.8,3365,"529 of 3140"
"Elko County",32007,8.6,4520,"450 of 3140"
"Pershing County",32027,10.7,710,"309 of 3140"
"Humboldt County",32013,11.1,1900,"282 of 3140"
"Carson City",32510,11.2,6055,"281 of 3140"
"Lander County",32015,11.3,668,"274 of 3140"
"Esmeralda County",32009,11.7,129,"266 of 3140"
"Washoe County",32031,14.4,64076,"196 of 3140"
"Clark County",32003,22.3,470645,"81 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Foreign born, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
