------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '32', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nevada by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"United States",00000,17.6,56510571,"N/A"
"Nevada",32000,28.2,814305,"6 of 52"
"Eureka County",32011,1.6,27,"2631 of 3141"
"Storey County",32029,6.7,261,"1029 of 3141"
"Lincoln County",32017,8.7,453,"831 of 3141"
"Mineral County",32021,11.1,495,"670 of 3141"
"Douglas County",32005,12.3,5846,"607 of 3141"
"Churchill County",32001,13.4,3214,"564 of 3141"
"Nye County",32023,14.2,6139,"543 of 3141"
"White Pine County",32033,15.3,1511,"503 of 3141"
"Esmeralda County",32009,15.6,172,"492 of 3141"
"Lyon County",32019,16.2,8486,"474 of 3141"
"Carson City",32510,23.4,12665,"315 of 3141"
"Pershing County",32027,23.8,1586,"309 of 3141"
"Washoe County",32031,23.9,106453,"308 of 3141"
"Elko County",32007,24.2,12689,"299 of 3141"
"Humboldt County",32013,26.5,4520,"271 of 3141"
"Lander County",32015,26.8,1577,"264 of 3141"
"Clark County",32003,30.7,648211,"221 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
