------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '32', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nevada by County
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (AI/AN),Rank within US
"United States",00000,0.8,2632102,"N/A"
"Nevada",32000,1.1,32426,"13 of 52"
"Clark County",32003,0.6,13399,"965 of 3141"
"Storey County",32029,1.4,53,"506 of 3141"
"Washoe County",32031,1.6,7219,"440 of 3141"
"Eureka County",32011,1.7,29,"432 of 3141"
"Nye County",32023,1.7,737,"430 of 3141"
"Douglas County",32005,2.0,961,"382 of 3141"
"Esmeralda County",32009,2.4,26,"342 of 3141"
"Lyon County",32019,2.4,1248,"335 of 3141"
"Carson City",32510,2.5,1365,"321 of 3141"
"Lincoln County",32017,3.2,166,"277 of 3141"
"Pershing County",32027,3.3,219,"271 of 3141"
"Churchill County",32001,4.4,1058,"222 of 3141"
"Humboldt County",32013,4.7,800,"213 of 3141"
"Elko County",32007,5.6,2922,"187 of 3141"
"White Pine County",32033,6.3,623,"175 of 3141"
"Lander County",32015,7.2,422,"164 of 3141"
"Mineral County",32021,26.4,1179,"49 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: American Indian/Alaska Native, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
