locale,fips,value (percent),families (below poverty),rank within us,age,areatype,demo,file_name,race,sex,source_url,stateFIPS,topic,type,people (below poverty),people (<150% of poverty)
Nevada,32000.0,10.3,69431.0,31 of 52,1,state,7,demographics_028.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,32,pov,manyareacensus,,
United States,0.0,10.5,8253388.0,,1,country,7,demographics_028.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,32,pov,manyareacensus,,
Eureka County,32011.0,2.5,12.0,33 of 3141,1,county,7,demographics_028.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,32,pov,manyareacensus,,
Storey County,32029.0,4.6,47.0,197 of 3141,1,county,7,demographics_028.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,32,pov,manyareacensus,,
Humboldt County,32013.0,5.4,218.0,304 of 3141,1,county,7,demographics_028.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,32,pov,manyareacensus,,
Esmeralda County,32009.0,5.6,13.0,330 of 3141,1,county,7,demographics_028.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,32,pov,manyareacensus,,
Douglas County,32005.0,6.5,922.0,510 of 3141,1,county,7,demographics_028.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,32,pov,manyareacensus,,
Lincoln County,32017.0,7.6,97.0,786 of 3141,1,county,7,demographics_028.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,32,pov,manyareacensus,,
Washoe County,32031.0,8.5,9063.0,1016 of 3141,1,county,7,demographics_028.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,32,pov,manyareacensus,,
Lyon County,32019.0,8.6,1145.0,1050 of 3141,1,county,7,demographics_028.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,32,pov,manyareacensus,,
White Pine County,32033.0,8.9,184.0,1133 of 3141,1,county,7,demographics_028.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,32,pov,manyareacensus,,
Elko County,32007.0,9.3,1192.0,1220 of 3141,1,county,7,demographics_028.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,32,pov,manyareacensus,,
Churchill County,32001.0,9.7,603.0,1328 of 3141,1,county,7,demographics_028.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,32,pov,manyareacensus,,
Lander County,32015.0,9.8,151.0,1357 of 3141,1,county,7,demographics_028.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,32,pov,manyareacensus,,
Clark County,32003.0,11.0,52632.0,1655 of 3141,1,county,7,demographics_028.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,32,pov,manyareacensus,,
Carson City,32510.0,11.1,1481.0,1694 of 3141,1,county,7,demographics_028.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,32,pov,manyareacensus,,
