------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '32', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nevada by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"Nevada",32000,71.8,2073420,"6 of 52"
"United States",00000,82.4,264493836,"N/A"
"Clark County",32003,69.3,1464225,"221 of 3141"
"Lander County",32015,73.2,4310,"264 of 3141"
"Humboldt County",32013,73.5,12568,"271 of 3141"
"Elko County",32007,75.8,39688,"299 of 3141"
"Washoe County",32031,76.1,339098,"308 of 3141"
"Pershing County",32027,76.2,5075,"309 of 3141"
"Carson City",32510,76.6,41554,"315 of 3141"
"Lyon County",32019,83.8,43817,"474 of 3141"
"Esmeralda County",32009,84.4,930,"492 of 3141"
"White Pine County",32033,84.7,8347,"503 of 3141"
"Nye County",32023,85.8,37157,"543 of 3141"
"Churchill County",32001,86.6,20808,"564 of 3141"
"Douglas County",32005,87.7,41786,"607 of 3141"
"Mineral County",32021,88.9,3976,"670 of 3141"
"Lincoln County",32017,91.3,4750,"831 of 3141"
"Storey County",32029,93.3,3630,"1029 of 3141"
"Eureka County",32011,98.4,1701,"2631 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
