------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '32', 'areatype': 'county', 'topic': 'pop', 'demo': '00028', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nevada by County
Population: Age 40 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40 And Over),Rank within US
"Nevada",32000,47.0,1356218,"33 of 52"
"United States",00000,47.3,151838062,"N/A"
"Elko County",32007,42.0,21990,"2893 of 3141"
"Humboldt County",32013,44.2,7551,"2734 of 3141"
"Clark County",32003,45.8,967430,"2584 of 3141"
"Washoe County",32031,47.7,212463,"2328 of 3141"
"Lander County",32015,48.2,2837,"2234 of 3141"
"Churchill County",32001,48.8,11721,"2140 of 3141"
"White Pine County",32033,49.2,4853,"2056 of 3141"
"Lincoln County",32017,51.5,2681,"1543 of 3141"
"Carson City",32510,53.0,28735,"1175 of 3141"
"Pershing County",32027,53.5,3562,"1069 of 3141"
"Lyon County",32019,54.2,28360,"917 of 3141"
"Mineral County",32021,55.0,2457,"776 of 3141"
"Esmeralda County",32009,56.7,625,"527 of 3141"
"Eureka County",32011,59.7,1031,"241 of 3141"
"Douglas County",32005,61.6,29352,"155 of 3141"
"Nye County",32023,64.3,27818,"68 of 3141"
"Storey County",32029,70.7,2752,"11 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
