------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '32', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nevada by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"United States",00000,23.7,74202606,"N/A"
"Nevada",32000,24.2,689306,"31 of 52"
"Douglas County",32005,17.0,8060,"390 of 3141"
"Storey County",32029,17.2,668,"412 of 3141"
"Humboldt County",32013,17.4,2938,"433 of 3141"
"Elko County",32007,17.8,9206,"474 of 3141"
"Eureka County",32011,18.7,323,"585 of 3141"
"Lander County",32015,19.4,1136,"657 of 3141"
"Lincoln County",32017,21.5,1009,"948 of 3141"
"Pershing County",32027,22.2,1046,"1033 of 3141"
"Churchill County",32001,22.2,5225,"1035 of 3141"
"White Pine County",32033,23.1,1935,"1154 of 3141"
"Washoe County",32031,23.8,104650,"1250 of 3141"
"Clark County",32003,24.6,512136,"1371 of 3141"
"Lyon County",32019,25.3,13141,"1480 of 3141"
"Carson City",32510,26.4,13813,"1650 of 3141"
"Nye County",32023,28.6,12246,"1975 of 3141"
"Mineral County",32021,31.5,1384,"2310 of 3141"
"Esmeralda County",32009,35.6,390,"2671 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
