------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '32', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nevada by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"United States",00000,12.7,27437114,"N/A"
"Nevada",32000,14.2,278818,"43 of 52"
"Storey County",32029,5.3,171,"127 of 3141"
"Douglas County",32005,6.5,2329,"266 of 3141"
"Eureka County",32011,8.8,111,"741 of 3141"
"Esmeralda County",32009,9.7,79,"951 of 3141"
"Churchill County",32001,10.6,1731,"1184 of 3141"
"Lincoln County",32017,11.8,430,"1445 of 3141"
"Washoe County",32031,12.4,37879,"1570 of 3141"
"Carson City",32510,13.0,5016,"1665 of 3141"
"Mineral County",32021,13.7,452,"1785 of 3141"
"Lyon County",32019,14.5,5406,"1903 of 3141"
"Clark County",32003,14.7,210394,"1944 of 3141"
"Nye County",32023,14.8,4926,"1948 of 3141"
"White Pine County",32033,15.1,1061,"1996 of 3141"
"Elko County",32007,16.2,5370,"2162 of 3141"
"Lander County",32015,16.7,650,"2220 of 3141"
"Humboldt County",32013,16.7,1830,"2224 of 3141"
"Pershing County",32027,19.1,983,"2499 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
