------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '32', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nevada by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"United States",00000,22.9,73601279,"N/A"
"Nevada",32000,23.2,670002,"20 of 52"
"Storey County",32029,11.9,463,"3133 of 3141"
"Pershing County",32027,16.9,1127,"2992 of 3141"
"Nye County",32023,17.1,7392,"2985 of 3141"
"Douglas County",32005,17.9,8545,"2904 of 3141"
"Esmeralda County",32009,18.3,202,"2839 of 3141"
"Lincoln County",32017,18.9,981,"2760 of 3141"
"Carson City",32510,20.6,11145,"2320 of 3141"
"Mineral County",32021,20.6,920,"2312 of 3141"
"White Pine County",32033,20.8,2050,"2232 of 3141"
"Lyon County",32019,22.1,11569,"1719 of 3141"
"Washoe County",32031,22.2,99077,"1657 of 3141"
"Churchill County",32001,23.3,5586,"1210 of 3141"
"Eureka County",32011,23.5,406,"1103 of 3141"
"Clark County",32003,23.7,499750,"1030 of 3141"
"Humboldt County",32013,27.4,4677,"221 of 3141"
"Lander County",32015,27.4,1613,"215 of 3141"
"Elko County",32007,27.7,14499,"192 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age under 18, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
