------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '32', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nevada by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"United States",00000,5.4,11759554,"N/A"
"Nevada",32000,5.9,116412,"45 of 52"
"Storey County",32029,0.3,9,"9 of 3141"
"Mineral County",32021,1.2,41,"79 of 3141"
"Lincoln County",32017,1.9,69,"275 of 3141"
"Eureka County",32011,2.4,30,"508 of 3141"
"Douglas County",32005,2.6,932,"618 of 3141"
"Nye County",32023,3.4,1131,"1117 of 3141"
"Esmeralda County",32009,3.5,29,"1201 of 3141"
"Carson City",32510,3.8,1465,"1338 of 3141"
"Churchill County",32001,4.3,702,"1566 of 3141"
"White Pine County",32033,4.3,303,"1580 of 3141"
"Lyon County",32019,4.8,1778,"1790 of 3141"
"Washoe County",32031,5.3,16037,"1944 of 3141"
"Clark County",32003,6.3,90260,"2299 of 3141"
"Elko County",32007,6.3,2093,"2303 of 3141"
"Humboldt County",32013,7.0,771,"2475 of 3141"
"Lander County",32015,8.3,324,"2686 of 3141"
"Pershing County",32027,8.5,438,"2717 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
