------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '32', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nevada by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"United States",00000,8.4,26717038,"N/A"
"Nevada",32000,13.4,383775,"51 of 51"
"Storey County",32029,0.6,22,"12 of 3140"
"Lincoln County",32017,2.7,139,"187 of 3140"
"Mineral County",32021,3.1,139,"291 of 3140"
"Pershing County",32027,3.5,229,"357 of 3140"
"Esmeralda County",32009,3.7,41,"449 of 3140"
"Nye County",32023,6.7,2882,"1764 of 3140"
"Lyon County",32019,6.7,3487,"1766 of 3140"
"Douglas County",32005,6.9,3264,"1834 of 3140"
"Humboldt County",32013,7.3,1218,"2015 of 3140"
"White Pine County",32033,7.8,760,"2187 of 3140"
"Carson City",32510,9.0,4842,"2558 of 3140"
"Elko County",32007,10.7,5541,"2896 of 3140"
"Eureka County",32011,10.8,187,"2909 of 3140"
"Churchill County",32001,11.3,2670,"2968 of 3140"
"Washoe County",32031,13.3,58713,"3096 of 3140"
"Clark County",32003,14.3,298775,"3115 of 3140"
"Lander County",32015,15.1,866,"3126 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
