------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '32', 'areatype': 'county', 'topic': 'pop', 'demo': '00103', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_015.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nevada by County
Population: Age 40-64
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40-64),Rank within US
"Nevada",32000,32.4,935888,"24 of 52"
"United States",00000,32.4,104105673,"N/A"
"Esmeralda County",32009,28.6,315,"238 of 3141"
"Lincoln County",32017,29.9,1557,"388 of 3141"
"Churchill County",32001,31.1,7472,"625 of 3141"
"Elko County",32007,32.1,16799,"934 of 3141"
"Clark County",32003,32.1,678101,"942 of 3141"
"Humboldt County",32013,32.6,5570,"1149 of 3141"
"Lander County",32015,32.7,1924,"1188 of 3141"
"Washoe County",32031,32.7,145654,"1193 of 3141"
"White Pine County",32033,33.4,3291,"1519 of 3141"
"Mineral County",32021,33.5,1497,"1583 of 3141"
"Carson City",32510,33.6,18236,"1668 of 3141"
"Lyon County",32019,34.0,17809,"1899 of 3141"
"Nye County",32023,35.9,15552,"2678 of 3141"
"Douglas County",32005,36.2,17257,"2768 of 3141"
"Pershing County",32027,38.4,2558,"3056 of 3141"
"Storey County",32029,38.9,1514,"3071 of 3141"
"Eureka County",32011,45.3,782,"3135 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40-64, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
