------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '04', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arizona by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Arizona",04000,28.4,1284657,"32 of 52"
"United States",00000,30.9,66887603,"N/A"
"La Paz County",04012,11.2,1746,"2928 of 3141"
"Apache County",04001,11.5,5020,"2893 of 3141"
"Greenlee County",04011,12.1,707,"2814 of 3141"
"Mohave County",04015,12.3,18976,"2786 of 3141"
"Graham County",04009,14.1,3297,"2476 of 3141"
"Yuma County",04027,14.3,18295,"2438 of 3141"
"Navajo County",04017,15.5,10549,"2220 of 3141"
"Pinal County",04021,18.6,51313,"1656 of 3141"
"Gila County",04007,19.0,7341,"1572 of 3141"
"Santa Cruz County",04023,22.1,6395,"1095 of 3141"
"Cochise County",04003,23.6,20676,"916 of 3141"
"Yavapai County",04025,25.0,42068,"802 of 3141"
"Maricopa County",04013,31.4,858772,"402 of 3141"
"Pima County",04019,31.6,210880,"391 of 3141"
"Coconino County",04005,35.4,28622,"248 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
