------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '04', 'areatype': 'county', 'topic': 'inc', 'demo': '00011', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arizona by County
Income: Median household income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"Arizona",04000,53510.000000000,"31 of 52"
"United States",00000,57652.000000000,"N/A"
"Apache County",04001,32360.000000000,"2980 of 3141"
"La Paz County",04012,36479.000000000,"2763 of 3141"
"Navajo County",04017,38798.000000000,"2580 of 3141"
"Santa Cruz County",04023,39630.000000000,"2497 of 3141"
"Gila County",04007,41179.000000000,"2348 of 3141"
"Mohave County",04015,41567.000000000,"2295 of 3141"
"Yuma County",04027,43253.000000000,"2120 of 3141"
"Cochise County",04003,47847.000000000,"1595 of 3141"
"Graham County",04009,48173.000000000,"1558 of 3141"
"Yavapai County",04025,48259.000000000,"1549 of 3141"
"Pima County",04019,48676.000000000,"1496 of 3141"
"Pinal County",04021,52628.000000000,"1049 of 3141"
"Coconino County",04005,53523.000000000,"980 of 3141"
"Greenlee County",04011,56298.000000000,"745 of 3141"
"Maricopa County",04013,58580.000000000,"598 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median household income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
