------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '04', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arizona by County
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (AI/AN),Rank within US
"United States",00000,0.8,2632102,"N/A"
"Arizona",04000,4.4,300182,"7 of 52"
"Santa Cruz County",04023,0.5,217,"1227 of 3141"
"Cochise County",04003,1.2,1548,"545 of 3141"
"Yuma County",04027,1.3,2630,"525 of 3141"
"Yavapai County",04025,1.7,3762,"429 of 3141"
"Maricopa County",04013,1.9,78683,"405 of 3141"
"Mohave County",04015,2.4,4830,"340 of 3141"
"Pima County",04019,3.5,34765,"263 of 3141"
"Greenlee County",04011,4.0,379,"232 of 3141"
"Pinal County",04021,5.0,20386,"205 of 3141"
"La Paz County",04012,12.7,2609,"96 of 3141"
"Graham County",04009,13.2,4974,"94 of 3141"
"Gila County",04007,15.8,8419,"70 of 3141"
"Coconino County",04005,26.6,36850,"48 of 3141"
"Navajo County",04017,44.2,47642,"30 of 3141"
"Apache County",04001,73.3,52488,"14 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: American Indian/Alaska Native, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
