------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '04', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arizona by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"Arizona",04000,69.1,4706423,"5 of 52"
"United States",00000,82.4,264493836,"N/A"
"Santa Cruz County",04023,16.6,7705,"16 of 3141"
"Yuma County",04027,37.1,75816,"45 of 3141"
"Greenlee County",04011,53.6,5020,"116 of 3141"
"Pima County",04019,63.4,638645,"175 of 3141"
"Cochise County",04003,65.0,82241,"184 of 3141"
"Graham County",04009,67.5,25436,"207 of 3141"
"Maricopa County",04013,69.4,2883755,"222 of 3141"
"Pinal County",04021,70.4,285462,"234 of 3141"
"La Paz County",04012,73.7,15094,"273 of 3141"
"Gila County",04007,81.4,43235,"414 of 3141"
"Mohave County",04015,84.1,172100,"481 of 3141"
"Yavapai County",04025,85.7,189464,"538 of 3141"
"Coconino County",04005,86.1,119374,"553 of 3141"
"Navajo County",04017,88.8,95848,"664 of 3141"
"Apache County",04001,93.9,67228,"1108 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
