------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '04', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arizona by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"United States",00000,17.6,56510571,"N/A"
"Arizona",04000,30.9,2103523,"5 of 52"
"Apache County",04001,6.1,4374,"1108 of 3141"
"Navajo County",04017,11.2,12054,"664 of 3141"
"Coconino County",04005,13.9,19265,"553 of 3141"
"Yavapai County",04025,14.3,31508,"538 of 3141"
"Mohave County",04015,15.9,32591,"481 of 3141"
"Gila County",04007,18.6,9910,"414 of 3141"
"La Paz County",04012,26.3,5383,"273 of 3141"
"Pinal County",04021,29.6,120075,"234 of 3141"
"Maricopa County",04013,30.6,1271746,"222 of 3141"
"Graham County",04009,32.5,12264,"207 of 3141"
"Cochise County",04003,35.0,44275,"184 of 3141"
"Pima County",04019,36.6,368612,"175 of 3141"
"Greenlee County",04011,46.4,4348,"116 of 3141"
"Yuma County",04027,62.9,128465,"45 of 3141"
"Santa Cruz County",04023,83.4,38653,"16 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
