------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '04', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arizona by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"United States",00000,6.6,10560305,"N/A"
"Arizona",04000,7.1,225911,"35 of 52"
"Maricopa County",04013,6.0,124210,"1569 of 3141"
"Yavapai County",04025,7.3,6621,"2166 of 3141"
"Greenlee County",04011,7.6,302,"2271 of 3141"
"Cochise County",04003,7.6,3591,"2297 of 3141"
"Pinal County",04021,7.8,12337,"2371 of 3141"
"Coconino County",04005,8.3,5933,"2528 of 3141"
"Pima County",04019,8.4,40004,"2552 of 3141"
"Santa Cruz County",04023,8.7,1657,"2602 of 3141"
"La Paz County",04012,9.5,681,"2775 of 3141"
"Mohave County",04015,10.1,7853,"2872 of 3141"
"Yuma County",04027,10.9,9137,"2948 of 3141"
"Gila County",04007,11.7,2405,"2996 of 3141"
"Graham County",04009,12.2,1722,"3018 of 3141"
"Apache County",04001,14.1,2983,"3068 of 3141"
"Navajo County",04017,16.3,6475,"3109 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
