------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '04', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arizona by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"United States",00000,10.5,8253388,"N/A"
"Arizona",04000,12.3,199167,"39 of 52"
"Yavapai County",04025,9.4,5649,"1264 of 3141"
"Greenlee County",04011,9.6,232,"1300 of 3141"
"Pinal County",04021,11.1,10358,"1700 of 3141"
"Maricopa County",04013,11.4,111490,"1767 of 3141"
"La Paz County",04012,11.7,660,"1818 of 3141"
"Mohave County",04015,12.3,6558,"1965 of 3141"
"Pima County",04019,12.8,31312,"2056 of 3141"
"Coconino County",04005,13.3,3920,"2157 of 3141"
"Cochise County",04003,14.3,4668,"2342 of 3141"
"Gila County",04007,15.1,2147,"2460 of 3141"
"Graham County",04009,16.1,1237,"2581 of 3141"
"Yuma County",04027,16.9,9069,"2677 of 3141"
"Santa Cruz County",04023,18.7,2204,"2821 of 3141"
"Navajo County",04017,23.7,5771,"3020 of 3141"
"Apache County",04001,29.0,3892,"3093 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
