------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '04', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arizona by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"United States",00000,73.0,234370202,"N/A"
"Arizona",04000,77.5,5277661,"27 of 52"
"Apache County",04001,22.8,16314,"3110 of 3141"
"Navajo County",04017,47.9,51648,"2972 of 3141"
"Coconino County",04005,63.6,88147,"2737 of 3141"
"Yuma County",04027,73.1,149306,"2481 of 3141"
"La Paz County",04012,75.3,15428,"2401 of 3141"
"Pima County",04019,76.9,774499,"2354 of 3141"
"Gila County",04007,77.5,41211,"2331 of 3141"
"Maricopa County",04013,78.0,3241643,"2310 of 3141"
"Graham County",04009,79.0,29782,"2257 of 3141"
"Pinal County",04021,80.4,326120,"2193 of 3141"
"Cochise County",04003,84.4,106782,"2000 of 3141"
"Santa Cruz County",04023,86.2,39955,"1899 of 3141"
"Mohave County",04015,90.4,185042,"1521 of 3141"
"Greenlee County",04011,91.1,8533,"1440 of 3141"
"Yavapai County",04025,92.0,203251,"1325 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
