------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '04', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arizona by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"United States",00000,5.4,11759554,"N/A"
"Arizona",04000,5.9,267198,"46 of 52"
"Yavapai County",04025,3.1,5202,"951 of 3141"
"Greenlee County",04011,3.8,220,"1327 of 3141"
"Gila County",04007,4.1,1572,"1468 of 3141"
"Coconino County",04005,4.2,3370,"1519 of 3141"
"Mohave County",04015,4.6,7052,"1709 of 3141"
"Graham County",04009,4.7,1098,"1750 of 3141"
"Pima County",04019,4.7,31383,"1753 of 3141"
"Pinal County",04021,5.5,15275,"2026 of 3141"
"Cochise County",04003,5.6,4892,"2055 of 3141"
"Maricopa County",04013,6.0,165101,"2214 of 3141"
"Navajo County",04017,6.7,4602,"2416 of 3141"
"La Paz County",04012,9.7,1510,"2852 of 3141"
"Apache County",04001,10.8,4709,"2921 of 3141"
"Santa Cruz County",04023,11.5,3319,"2955 of 3141"
"Yuma County",04027,14.0,17893,"3040 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
