------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '04', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arizona by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"Arizona",04000,50.3,3424891,"15 of 52"
"United States",00000,50.8,162985654,"N/A"
"Graham County",04009,46.3,17467,"179 of 3141"
"Greenlee County",04011,46.7,4371,"215 of 3141"
"Pinal County",04021,47.8,193872,"330 of 3141"
"La Paz County",04012,48.6,9947,"473 of 3141"
"Yuma County",04027,48.6,99367,"492 of 3141"
"Cochise County",04003,49.3,62422,"732 of 3141"
"Mohave County",04015,49.6,101516,"863 of 3141"
"Navajo County",04017,49.9,53865,"1136 of 3141"
"Maricopa County",04013,50.5,2100037,"1721 of 3141"
"Gila County",04007,50.5,26861,"1732 of 3141"
"Apache County",04001,50.6,36247,"1836 of 3141"
"Coconino County",04005,50.8,70375,"2015 of 3141"
"Pima County",04019,50.8,511543,"2037 of 3141"
"Yavapai County",04025,51.1,112872,"2333 of 3141"
"Santa Cruz County",04023,52.0,24129,"2905 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
