------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '04', 'areatype': 'county', 'topic': 'pop', 'demo': '00102', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_014.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arizona by County
Population: Age 18-39
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 18-39),Rank within US
"Arizona",04000,29.5,2010832,"30 of 52"
"United States",00000,29.8,95565066,"N/A"
"La Paz County",04012,18.8,3854,"111 of 3141"
"Yavapai County",04025,20.0,44229,"184 of 3141"
"Gila County",04007,20.3,10765,"209 of 3141"
"Mohave County",04015,21.0,43045,"301 of 3141"
"Santa Cruz County",04023,25.5,11806,"1482 of 3141"
"Navajo County",04017,26.7,28767,"1870 of 3141"
"Cochise County",04003,27.1,34277,"1996 of 3141"
"Pinal County",04021,28.1,113805,"2237 of 3141"
"Apache County",04001,28.2,20159,"2258 of 3141"
"Greenlee County",04011,30.0,2806,"2607 of 3141"
"Yuma County",04027,30.2,61754,"2643 of 3141"
"Pima County",04019,30.4,305783,"2657 of 3141"
"Maricopa County",04013,30.4,1262560,"2658 of 3141"
"Graham County",04009,32.5,12236,"2849 of 3141"
"Coconino County",04005,39.7,54986,"3073 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 18-39, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
