------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '04', 'areatype': 'county', 'topic': 'pop', 'demo': '00103', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_015.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arizona by County
Population: Age 40-64
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40-64),Rank within US
"Arizona",04000,30.4,2070326,"5 of 52"
"United States",00000,32.4,104105673,"N/A"
"Yuma County",04027,26.2,53613,"86 of 3141"
"Graham County",04009,27.3,10277,"137 of 3141"
"La Paz County",04012,27.3,5586,"139 of 3141"
"Coconino County",04005,27.7,38426,"166 of 3141"
"Pinal County",04021,29.4,119292,"315 of 3141"
"Navajo County",04017,29.4,31772,"317 of 3141"
"Apache County",04001,29.6,21216,"338 of 3141"
"Pima County",04019,29.8,300438,"374 of 3141"
"Greenlee County",04011,30.1,2817,"408 of 3141"
"Santa Cruz County",04023,30.2,14019,"437 of 3141"
"Cochise County",04003,30.3,38356,"452 of 3141"
"Maricopa County",04013,30.7,1275432,"526 of 3141"
"Gila County",04007,32.4,17201,"1061 of 3141"
"Mohave County",04015,32.7,66994,"1204 of 3141"
"Yavapai County",04025,33.9,74887,"1818 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40-64, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
