------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '04', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arizona by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"United States",00000,22.9,73601279,"N/A"
"Arizona",04000,23.8,1622426,"14 of 52"
"La Paz County",04012,16.6,3398,"3023 of 3141"
"Yavapai County",04025,17.2,37949,"2977 of 3141"
"Mohave County",04015,18.2,37296,"2863 of 3141"
"Gila County",04007,20.4,10824,"2378 of 3141"
"Coconino County",04005,21.5,29794,"1985 of 3141"
"Pima County",04019,21.7,218316,"1919 of 3141"
"Cochise County",04003,22.2,28058,"1688 of 3141"
"Pinal County",04021,23.9,96864,"932 of 3141"
"Maricopa County",04013,24.8,1030865,"602 of 3141"
"Yuma County",04027,25.9,52971,"373 of 3141"
"Graham County",04009,27.4,10338,"213 of 3141"
"Navajo County",04017,27.6,29813,"201 of 3141"
"Santa Cruz County",04023,28.0,12961,"166 of 3141"
"Greenlee County",04011,28.2,2639,"156 of 3141"
"Apache County",04001,28.4,20340,"143 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age under 18, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
