------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '04', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arizona by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"United States",00000,12.7,27437114,"N/A"
"Arizona",04000,13.5,609649,"39 of 52"
"Yavapai County",04025,9.8,16458,"976 of 3141"
"Greenlee County",04011,10.3,603,"1117 of 3141"
"Coconino County",04005,10.3,8356,"1121 of 3141"
"Pima County",04019,11.8,78894,"1456 of 3141"
"Maricopa County",04013,12.9,352327,"1651 of 3141"
"Cochise County",04003,12.9,11307,"1656 of 3141"
"Graham County",04009,14.2,3305,"1857 of 3141"
"Pinal County",04021,14.8,40931,"1954 of 3141"
"Gila County",04007,15.0,5807,"1984 of 3141"
"Mohave County",04015,15.3,23576,"2031 of 3141"
"Navajo County",04017,17.4,11886,"2326 of 3141"
"Apache County",04001,21.4,9370,"2740 of 3141"
"La Paz County",04012,22.8,3536,"2844 of 3141"
"Santa Cruz County",04023,24.6,7111,"2945 of 3141"
"Yuma County",04027,28.4,36182,"3055 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
