------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '04', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arizona by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Arizona",04000,18.3,249996,"31 of 51"
"Graham County",04009,12.1,1023,"878 of 3139"
"Greenlee County",04011,14.9,276,"1239 of 3139"
"Navajo County",04017,15.0,5259,"1247 of 3139"
"Pima County",04019,15.5,33453,"1314 of 3139"
"Cochise County",04003,15.7,4102,"1340 of 3139"
"Gila County",04007,15.8,1979,"1349 of 3139"
"Pinal County",04021,15.9,12387,"1363 of 3139"
"Mohave County",04015,16.7,7509,"1453 of 3139"
"Coconino County",04005,17.1,5302,"1501 of 3139"
"Santa Cruz County",04023,17.7,2386,"1606 of 3139"
"Yuma County",04027,18.2,9365,"1677 of 3139"
"Yavapai County",04025,19.1,7197,"1804 of 3139"
"Maricopa County",04013,19.8,153237,"1928 of 3139"
"Apache County",04001,20.4,5483,"2024 of 3139"
"La Paz County",04012,23.2,1038,"2384 of 3139"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & Small Area Health Insurance Estimates (https://www.census.gov/programs-surveys/sahie.html).
"For more information about Insurance: Percent uninsured in demographic group, people at or below 138% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#insurance."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
