------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '04', 'areatype': 'county', 'topic': 'inc', 'demo': '00010', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_004.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arizona by County
Income: Median family income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"Arizona",04000,63812.000000000,"38 of 52"
"United States",00000,70850.000000000,"N/A"
"Apache County",04001,40231.000000000,"3028 of 3141"
"Santa Cruz County",04023,44076.000000000,"2876 of 3141"
"La Paz County",04012,44536.000000000,"2860 of 3141"
"Navajo County",04017,46034.000000000,"2772 of 3141"
"Yuma County",04027,47370.000000000,"2676 of 3141"
"Gila County",04007,48806.000000000,"2598 of 3141"
"Mohave County",04015,50148.000000000,"2502 of 3141"
"Cochise County",04003,57593.000000000,"1801 of 3141"
"Yavapai County",04025,58446.000000000,"1715 of 3141"
"Graham County",04009,58732.000000000,"1693 of 3141"
"Pinal County",04021,60281.000000000,"1516 of 3141"
"Pima County",04019,60790.000000000,"1459 of 3141"
"Greenlee County",04011,60857.000000000,"1452 of 3141"
"Coconino County",04005,67964.000000000,"849 of 3141"
"Maricopa County",04013,69647.000000000,"738 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median family income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
