------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '04', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arizona by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"Arizona",04000,13.4,911810,"15 of 51"
"United States",00000,13.4,43028127,"N/A"
"Apache County",04001,1.9,1388,"1961 of 3140"
"Navajo County",04017,2.8,2979,"1528 of 3140"
"Greenlee County",04011,3.5,324,"1271 of 3140"
"Graham County",04009,3.8,1445,"1168 of 3140"
"Gila County",04007,4.0,2104,"1132 of 3140"
"Coconino County",04005,4.7,6568,"962 of 3140"
"Yavapai County",04025,6.4,14064,"693 of 3140"
"Mohave County",04015,6.7,13737,"647 of 3140"
"Pinal County",04021,9.6,38932,"374 of 3140"
"La Paz County",04012,10.4,2133,"326 of 3140"
"Cochise County",04003,11.2,14194,"280 of 3140"
"Pima County",04019,12.8,129234,"229 of 3140"
"Maricopa County",04013,14.8,614428,"192 of 3140"
"Yuma County",04027,27.1,55429,"44 of 3140"
"Santa Cruz County",04023,32.0,14851,"21 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Foreign born, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
