------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '04', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=04&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arizona by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"United States",00000,49.2,158018753,"N/A"
"Arizona",04000,49.7,3385055,"38 of 52"
"Santa Cruz County",04023,48.0,22229,"237 of 3141"
"Yavapai County",04025,48.9,108100,"809 of 3141"
"Pima County",04019,49.2,495714,"1105 of 3141"
"Coconino County",04005,49.2,68264,"1127 of 3141"
"Apache County",04001,49.4,35355,"1306 of 3141"
"Gila County",04007,49.5,26284,"1410 of 3141"
"Maricopa County",04013,49.5,2055464,"1421 of 3141"
"Navajo County",04017,50.1,54037,"2006 of 3141"
"Mohave County",04015,50.4,103175,"2279 of 3141"
"Cochise County",04003,50.7,64094,"2410 of 3141"
"Yuma County",04027,51.4,104914,"2650 of 3141"
"La Paz County",04012,51.4,10530,"2669 of 3141"
"Pinal County",04021,52.2,211665,"2812 of 3141"
"Greenlee County",04011,53.3,4997,"2927 of 3141"
"Graham County",04009,53.7,20233,"2963 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
